Crack_length,Load,u,Specimen_name
68.41168,115.873903,12.907663,
68.41168,115.903956,12.918323,
68.41168,116.124344,12.917107,
68.41168,115.33796,12.933118,
68.65601,115.969071,12.956182,
68.65601,116.119335,12.961897,
68.65601,116.239546,12.980786,
68.65601,116.229529,12.990798,
68.65601,116.064238,13.008592,
68.65601,115.583392,13.017672,
68.65601,115.778736,13.030481,
68.65601,115.833833,13.046694,
68.65601,116.039194,13.062422,
68.65601,115.708612,13.071339,
68.90034,115.553339,13.085283,
68.90034,115.322934,13.09724,
68.90034,115.668542,13.113454,
68.90034,115.46318,13.129546,
68.90034,114.962299,13.140247,
68.90034,115.543321,13.153461,
68.90034,115.017396,13.168337,
68.90034,115.002369,13.178836,
68.90034,114.57662,13.186213,
68.90034,114.511506,13.21102,
68.90034,114.807026,13.21864,
69.14466,115.122581,13.232016,
69.14466,114.822052,13.245109,
69.14466,114.882158,13.25735,
69.14466,114.666779,13.277252,
69.14466,114.902193,13.282724,
69.14466,115.032422,13.288521,
69.14466,114.481453,13.311139,
69.38899,114.591647,13.324029,
69.38899,114.080748,13.34162,
69.38899,114.566603,13.352402,
69.38899,114.791999,13.360752,
69.38899,114.461418,13.378952,
69.38899,114.231012,13.391194,
69.38899,114.391294,13.406718,
69.38899,114.947272,13.412636,
69.38899,114.336197,13.429863,
69.38899,114.090765,13.434849,
69.63332,113.845333,13.467276,
69.63332,114.085756,13.4676,
69.63332,114.125827,13.470113,
69.63332,114.07073,13.495731,
69.63332,114.015633,13.507567,
69.63332,113.830307,13.532495,
69.63332,114.180924,13.530225,
69.63332,113.98558,13.537359,
69.87765,113.770201,13.574245,
69.87765,113.875386,13.580893,
69.87765,113.720113,13.588432,
69.87765,114.185933,13.598931,
69.87765,113.499725,13.616644,
69.87765,113.023888,13.62544,
69.87765,113.209214,13.646477,
69.87765,113.319408,13.648666,
69.87765,113.474681,13.658151,
70.12197,113.554822,13.684012,
70.12197,113.22424,13.694834,
70.12197,113.469672,13.710359,
70.12197,113.374505,13.72718,
70.12197,113.589884,13.720736,
70.12197,113.705087,13.741651,
70.12197,112.583112,13.773106,
70.12197,112.59313,13.77043,
70.12197,113.304381,13.787211,
70.12197,113.063958,13.800709,
70.12197,113.289355,13.813315,
70.12197,112.67828,13.835731,
70.3663,113.805263,13.845378,
70.3663,113.264311,13.851498,
70.3663,113.770201,13.872292,
70.3663,113.464664,13.884817,
70.3663,113.289355,13.896856,
70.3663,113.359478,13.906665,
70.3663,113.063958,13.913353,
70.61063,113.389531,13.931634,
70.61063,112.50798,13.9579,
70.61063,112.703324,13.959724,
70.61063,112.808509,13.968885,
70.61063,112.843571,13.987977,
70.61063,112.798491,13.994219,
70.61063,112.202442,14.022187,
70.85496,112.022125,14.022876,
70.85496,112.923712,14.027578,
70.85496,111.906922,14.042779,
71.09928,112.708333,14.067788,
71.09928,112.392777,14.088258,
71.09928,112.768438,14.091136,
71.09928,112.362724,14.091379,
71.09928,112.162372,14.134467,
71.09928,112.177398,14.135277,
71.34361,112.497962,14.13621,
71.34361,112.512989,14.144033,
71.34361,112.417821,14.165516,
71.34361,112.047169,14.178568,
71.34361,112.017116,14.199929,
71.34361,112.317645,14.212657,
71.34361,112.462901,14.21367,
71.34361,112.452883,14.231059,
71.58794,112.6332,14.250435,
71.58794,112.047169,14.267054,
71.58794,112.332672,14.27512,
71.58794,112.698315,14.288983,
71.58794,111.987063,14.29559,
71.58794,111.886887,14.321775,
71.58794,111.926958,14.328828,
71.58794,112.207451,14.34269,
71.58794,112.648227,14.351851,
71.58794,112.012107,14.367051,
71.58794,111.741632,14.3844,
71.58794,112.12731,14.393682,
71.83227,112.107275,14.407058,
71.83227,111.811755,14.421975,
71.83227,112.072213,14.433689,
71.83227,112.573095,14.448363,
71.83227,112.46791,14.460726,
71.83227,112.347698,14.471143,
71.83227,112.047169,14.486789,
72.07659,111.771684,14.497125,
72.07659,111.691543,14.511839,
72.07659,111.886887,14.525175,
72.07659,111.636446,14.537416,
72.07659,111.561314,14.545644,
72.32092,111.906922,14.567857,
72.32092,112.072213,14.577423,
72.32092,111.861843,14.586989,
72.32092,111.656482,14.60523,
72.32092,111.626429,14.618606,
72.32092,111.566323,14.626105,
72.32092,111.541279,14.642561,
72.56525,111.957011,14.649939,
72.56525,111.035389,14.669557,
72.56525,111.230732,14.68192,
72.56525,111.596376,14.69481,
72.56525,110.579587,14.712199,
72.56525,111.120539,14.720508,
72.56525,110.64971,14.73429,
72.56525,110.714825,14.75026,
72.56525,110.975283,14.759218,
72.56525,110.960257,14.774135,
72.56525,110.815001,14.790754,
72.56525,110.614648,14.806684,
72.56525,110.259023,14.81475,
72.56525,109.963503,14.835949,
72.80958,110.399269,14.841462,
72.80958,110.434331,14.857311,
72.80958,110.088723,14.873038,
72.80958,110.294084,14.881875,
72.80958,110.18389,14.896994,
72.80958,109.63793,14.905992,
73.05391,110.208934,14.918558,
73.05391,110.023608,14.939879,
73.05391,110.264031,14.944743,
73.05391,110.038635,14.959781,
73.05391,109.743115,14.978021,
73.05391,110.138811,14.987182,
73.29823,109.783185,14.99918,
73.29823,109.8483,15.014502,
73.29823,110.249005,15.027919,
73.29823,109.622903,15.045227,
73.29823,109.582833,15.052807,
73.29823,109.718071,15.066142,
73.29823,109.477648,15.078019,
73.54256,109.377471,15.092449,
73.54256,109.377471,15.098975,
73.54256,109.512709,15.118999,
73.54256,109.517718,15.135456,
73.54256,109.632921,15.132781,
73.78689,109.532745,15.160019,
73.78689,109.457612,15.173234,
73.78689,109.417542,15.183043,
73.78689,109.08696,15.200878,
73.78689,109.016837,15.202296,
74.03121,109.167101,15.226009,
74.03121,109.287313,15.240925,
74.03121,109.21218,15.247492,
74.03121,109.272286,15.263503,
74.03121,108.926678,15.280081,
74.03121,109.026854,15.292687,
74.03121,108.806467,15.310117,
74.03121,108.566043,15.316643,
74.27554,108.180365,15.330019,
74.27554,108.520964,15.347692,
74.27554,108.010065,15.353083,
74.27554,108.390735,15.366257,
74.27554,108.07518,15.386605,
74.51987,108.375709,15.397144,
74.51987,108.085197,15.410277,
74.51987,107.874827,15.433746,
74.51987,107.789677,15.437962,
74.51987,108.065162,15.45223,
74.51987,108.015074,15.470592,
74.51987,107.539237,15.477928,
74.51987,107.534228,15.494466,
74.51987,107.31384,15.503059,
74.51987,107.318849,15.517084,
74.7642,107.409007,15.530339,
