N_cycles,Load,exx,eyy,Specimen_name
6000,655.848037,0.00680413,-0.00150159,
6000,637.90835,0.00642066,-0.00144827,
6000,511.036068,0.00505897,-0.00109202,
6000,309.4587,0.00326476,-0.00055867,
6000,154.387342,0.00193513,-0.000338149,
6000,74.272293,0.00136313,-0.000207701,
6000,85.323977,0.00170667,-0.000286914,
6000,220.707106,0.00316321,-0.000588262,
6000,407.754946,0.00490155,-0.000965017,
6500,575.549354,0.00622319,-0.00141881,
6500,655.500256,0.00680839,-0.00149554,
6500,635.783024,0.00641313,-0.00145239,
6500,510.098993,0.00506097,-0.0010908,
6500,307.072541,0.00326853,-0.000557315,
6500,151.576118,0.0019399,-0.000336056,
6500,72.803887,0.00138416,-0.000210494,
6500,87.169145,0.0017308,-0.000299586,
6500,220.030866,0.0031866,-0.000591746,
6500,410.343977,0.00493201,-0.000973363,
7000,575.945438,0.00623725,-0.00141675,
7000,658.224538,0.00683229,-0.00150577,
7000,635.261353,0.00642326,-0.00144948,
7000,508.108916,0.0050717,-0.00108637,
7000,309.439379,0.00328741,-0.000561035,
7000,151.730687,0.00193536,-0.000344424,
7000,70.746187,0.00140497,-0.000208308,
7000,88.80178,0.00177484,-0.000300131,
7000,222.764805,0.0031969,-0.00059111,
7000,410.875308,0.00496873,-0.000986008,
7500,576.863192,0.00626137,-0.00141931,
7500,656.195817,0.00683302,-0.00150081,
7500,635.7154,0.00642883,-0.00145425,
7500,508.147558,0.00505497,-0.00108194,
7500,304.319281,0.00327183,-0.000548798,
7500,154.70614,0.00197934,-0.000350739,
7500,72.465767,0.00139303,-0.000192297,
7500,85.797345,0.00177207,-0.000296473,
7500,225.431121,0.00325158,-0.000594671,
7500,412.865385,0.0049873,-0.000984054,
8000,575.81019,0.00625975,-0.00142096,
8000,658.775191,0.00686401,-0.00149808,
8000,632.846209,0.00641316,-0.00143966,
8000,507.461658,0.00506787,-0.00106985,
8000,304.47385,0.00328508,-0.000551297,
8000,150.465153,0.0019601,-0.000346401,
8000,75.634432,0.00143418,-0.000195106,
8000,89.197863,0.00179828,-0.000303695,
8000,226.648352,0.00327093,-0.000608973,
8000,413.280789,0.00501289,-0.000979106,
8500,578.631077,0.00629652,-0.00143386,
8500,658.42741,0.00688096,-0.00151331,
8500,634.797645,0.00643056,-0.0014633,
8500,504.350955,0.00506922,-0.00108927,
8500,304.869933,0.00329779,-0.00055794,
8500,149.779253,0.0019616,-0.000337311,
8500,71.229215,0.00144639,-0.000208832,
8500,87.719797,0.00181574,-0.000307449,
8500,226.223287,0.00327678,-0.00060179,
8500,418.08209,0.0050598,-0.000998788,
9000,578.099745,0.00631357,-0.0014271,
9000,657.451692,0.00688628,-0.00150857,
9000,632.952476,0.00644053,-0.00146382,
9000,504.534506,0.00507829,-0.00108419,
9000,302.155314,0.00328501,-0.00054857,
9000,148.484738,0.00198856,-0.00033942,
9000,74.504146,0.00145916,-0.000198547,
9000,89.507001,0.00182884,-0.000304646,
9000,227.614408,0.00332644,-0.000610499,
9000,418.043448,0.00506533,-0.0009971,
9500,579.336298,0.00633176,-0.00142939,
9500,658.108611,0.00689619,-0.00151189,
9500,632.334199,0.00644358,-0.00146493,
9500,502.785943,0.00506603,-0.00108243,
9500,300.851138,0.00328235,-0.000545819,
9500,150.513456,0.00199573,-0.000351041,
9500,70.649582,0.00144284,-0.000194177,
9500,91.844857,0.00185966,-0.000318911,
9500,229.691429,0.00334003,-0.000603516,
9500,417.714989,0.00508094,-0.00100667,
10000,581.191128,0.00635804,-0.00143422,
10000,659.065008,0.0069063,-0.00151756,
10000,631.319839,0.00643625,-0.00145806,
10000,500.921453,0.00505206,-0.00107769,
10000,299.112237,0.00328675,-0.000545878,
10000,148.1756,0.00197397,-0.000340314,
10000,71.007022,0.0014612,-0.000204234,
10000,90.927104,0.00186303,-0.000315921,
10000,228.619107,0.00335162,-0.000613068,
10000,420.535874,0.00510831,-0.0010105,
10500,581.200789,0.00635706,-0.00143418,
10500,657.026627,0.0069099,-0.00151075,
10500,631.300518,0.00644324,-0.00146206,
10500,501.259573,0.00506467,-0.00107864,
10500,297.093179,0.00327545,-0.000546666,
10500,147.731214,0.00198858,-0.000350407,
10500,71.866813,0.00147653,-0.0002006,
10500,91.497077,0.00187092,-0.000320507,
10500,231.913359,0.00339484,-0.000619696,
10500,422.158849,0.0051178,-0.00101538,
11000,581.616193,0.00637489,-0.00143709,
11000,655.461614,0.00691309,-0.0015158,
11000,630.063964,0.00645927,-0.00146376,
11000,501.018059,0.0050599,-0.00107072,
11000,296.986913,0.00328687,-0.000543903,
11000,147.528342,0.00198998,-0.000342801,
11000,70.079608,0.00149087,-0.000194058,
11000,93.206997,0.00190237,-0.000320811,
11000,230.812054,0.00340271,-0.000628426,
11000,421.955977,0.00514425,-0.00101665,
11500,584.466062,0.00640834,-0.00144004,
11500,583.103921,0.00641317,-0.0014493,
