stress_ratio,cycles_to_failure,stress,stress_lowerbound,stress_upperbound
10.00000,90000.00,19.83329,18.93579,20.56856
10.00000,100000.0,19.75918,18.85253,20.49765
10.00000,110000.0,19.69238,18.77733,20.43393
10.00000,120000.0,19.63160,18.70879,20.37610
10.00000,130000.0,19.57585,18.64583,20.32318
10.00000,140000.0,19.52437,18.58762,20.27443
10.00000,150000.0,19.47657,18.53350,20.22925
10.00000,160000.0,19.43196,18.48295,20.18715
10.00000,170000.0,19.39014,18.43553,20.14775
10.00000,180000.0,19.35081,18.39087,20.11074
10.00000,190000.0,19.31367,18.34868,20.07584
10.00000,200000.0,19.27850,18.30870,20.04284
10.00000,210000.0,19.24511,18.27072,20.01154
10.00000,220000.0,19.21333,18.23453,19.98178
10.00000,230000.0,19.18300,18.20000,19.95342
10.00000,240000.0,19.15402,18.16696,19.92634
10.00000,250000.0,19.12626,18.13531,19.90041
10.00000,260000.0,19.09962,18.10494,19.87556
10.00000,270000.0,19.07403,18.07573,19.85171
10.00000,280000.0,19.04940,18.04762,19.82876
10.00000,290000.0,19.02566,18.02051,19.80667
10.00000,300000.0,19.00276,17.99435,19.78537
10.00000,310000.0,18.98063,17.96906,19.76480
10.00000,320000.0,18.95923,17.94461,19.74492
10.00000,330000.0,18.93851,17.92092,19.72569
10.00000,340000.0,18.91844,17.89795,19.70706
10.00000,350000.0,18.89896,17.87567,19.68900
10.00000,360000.0,18.88006,17.85404,19.67147
10.00000,370000.0,18.86168,17.83301,19.65445
10.00000,380000.0,18.84382,17.81255,19.63791
10.00000,390000.0,18.82644,17.79265,19.62183
10.00000,400000.0,18.80951,17.77326,19.60616
10.00000,410000.0,18.79301,17.75437,19.59091
10.00000,420000.0,18.77693,17.73594,19.57604
10.00000,430000.0,18.76124,17.71796,19.56154
10.00000,440000.0,18.74592,17.70039,19.54739
10.00000,450000.0,18.73096,17.68324,19.53358
10.00000,460000.0,18.71634,17.66647,19.52009
10.00000,470000.0,18.70204,17.65008,19.50690
10.00000,480000.0,18.68806,17.63404,19.49399
10.00000,490000.0,18.67437,17.61835,19.48138
10.00000,500000.0,18.66097,17.60297,19.46902
10.00000,510000.0,18.64785,17.58792,19.45693
10.00000,520000.0,18.63498,17.57315,19.44509
10.00000,530000.0,18.62238,17.55869,19.43347
10.00000,540000.0,18.61001,17.54450,19.42208
10.00000,550000.0,18.59788,17.53057,19.41092
10.00000,560000.0,18.58598,17.51691,19.39997
10.00000,570000.0,18.57430,17.50349,19.38923
10.00000,580000.0,18.56282,17.49032,19.37867
10.00000,590000.0,18.55155,17.47738,19.36831
10.00000,600000.0,18.54048,17.46465,19.35813
10.00000,610000.0,18.52959,17.45215,19.34812
10.00000,620000.0,18.51889,17.43985,19.33829
10.00000,630000.0,18.50836,17.42776,19.32862
10.00000,640000.0,18.49801,17.41587,19.31911
10.00000,650000.0,18.48782,17.40416,19.30976
10.00000,660000.0,18.47780,17.39264,19.30056
10.00000,670000.0,18.46793,17.38130,19.29150
10.00000,680000.0,18.45821,17.37013,19.28258
10.00000,690000.0,18.44864,17.35913,19.27380
10.00000,700000.0,18.43921,17.34829,19.26514
10.00000,710000.0,18.42991,17.33760,19.25663
10.00000,720000.0,18.42076,17.32708,19.24823
10.00000,730000.0,18.41173,17.31671,19.23995
10.00000,740000.0,18.40284,17.30648,19.23180
10.00000,750000.0,18.39406,17.29639,19.22376
10.00000,760000.0,18.38541,17.28643,19.21583
10.00000,770000.0,18.37687,17.27662,19.20801
10.00000,780000.0,18.36845,17.26693,19.20029
10.00000,790000.0,18.36013,17.25737,19.19268
10.00000,800000.0,18.35193,17.24793,19.18517
10.00000,810000.0,18.34383,17.23862,19.17775
10.00000,820000.0,18.33584,17.22942,19.17043
10.00000,830000.0,18.32794,17.22034,19.16322
10.00000,840000.0,18.32014,17.21137,19.15608
10.00000,850000.0,18.31244,17.20251,19.14903
10.00000,860000.0,18.30483,17.19376,19.14207
10.00000,870000.0,18.29732,17.18511,19.13519
10.00000,880000.0,18.28989,17.17656,19.12840
10.00000,890000.0,18.28255,17.16812,19.12168
10.00000,900000.0,18.27529,17.15977,19.11505
10.00000,910000.0,18.26812,17.15151,19.10849
10.00000,920000.0,18.26102,17.14335,19.10200
10.00000,930000.0,18.25401,17.13528,19.09560
10.00000,940000.0,18.24707,17.12730,19.08926
10.00000,950000.0,18.24022,17.11941,19.08299
10.00000,960000.0,18.23343,17.11160,19.07679
10.00000,970000.0,18.22672,17.10387,19.07065
10.00000,980000.0,18.22008,17.09623,19.06459
10.00000,990000.0,18.21351,17.08866,19.05859
10.00000,1000000.,18.20700,17.08118,19.05265
10.00000,1010000.,18.20057,17.07377,19.04677
10.00000,1020000.,18.19420,17.06644,19.04096
