stress_ratio,cycles_to_failure,stress_parameter,stress_lowerbound,stress_upperbound
0.1,40000,202.31613763502844,233.08532463849036,187.74383523721633
0.1,50000,197.64251611289598,224.6231782091486,184.01568770650903
0.1,60000,193.9041466589123,218.06839649016413,180.91606927791602
0.1,70000,190.79862051404152,212.78512096811085,178.24457750883366
0.1,80000,188.14872325563096,208.405229178637,175.88371557084437
0.1,90000,185.84191321083827,204.69708345967825,173.759067044318
0.1,100000,183.80237732075773,201.50573591930302,171.82075826045443
0.1,110000,181.97668163262634,198.7225772554819,170.03386858458074
0.1,120000,180.32579137933502,196.26862787324058,168.37306377825578
0.1,130000,178.8203484370213,194.08473464625982,166.81940571024015
0.1,140000,177.43773318474615,192.12551474108145,165.35836391874204
0.1,150000,176.16015976221524,190.355450379806,163.97852869911316
0.1,160000,174.9733979529815,188.7462775363124,162.6707524594851
0.1,170000,173.86589002467184,187.2751846771612,161.4275622298301
0.1,180000,172.82812486802388,185.92353643190097,160.24274902756997
0.1,190000,171.85218461073973,184.67594789094187,159.11107542739285
0.1,200000,170.93140976542074,183.5195994618779,158.02806375890154
0.1,210000,170.06014765044142,182.44372073699842,156.98984026368953
0.1,220000,169.23356046486273,181.43919563753946,155.9930186866768
0.1,230000,168.44747684986584,180.49825622826137,155.03461204252238
0.1,240000,167.69827565257424,179.61424244901687,154.11196477414654
0.1,250000,166.98279387730392,178.78141157630265,153.22269985443654
0.1,260000,166.2982530402333,177.99478569677296,152.36467697220158
0.1,270000,165.64219969268495,177.25002857600163,151.5359590398531
0.1,280000,165.0124569712187,176.54334549643897,150.73478502463735
0.1,290000,164.40708481518408,175.87140121139052,149.9595476433482
0.1,300000,163.82434706004526,175.23125230798516,149.2087748426713
0.1,310000,163.26268403174328,174.62029111848966,148.4811142613776
0.1,320000,162.72068957712767,174.03619895205705,147.77532006866952
0.1,330000,162.19709169807288,173.47690689728998,147.0902417174303
0.1,340000,161.69073613326125,172.9405628110871,146.4248142574043
0.1,350000,161.2005723665814,172.425503390397,145.77804993229466
0.1,360000,160.72564164527373,171.93023044210543,145.1490308437309
0.1,370000,160.26506667202193,171.4533906371112,144.53690250982146
0.1,380000,159.81804269875252,170.99375816942884,143.94086818005624
0.1,390000,159.38382980009666,170.55021984802156,143.36018379454958
0.1,400000,158.96174614437095,170.12176223425985,142.79415349609036
0.1,410000,158.55116211185947,169.70746050640673,142.2421256193971
0.1,420000,158.15149513587215,169.3064687875194,141.70348909481928
0.1,430000,157.76220516285494,168.91801171807705,141.17767021369386
0.1,440000,157.3827906447522,168.54137709080217,140.66412971096207
0.1,450000,157.0127849906702,168.17590939511948,140.16236012713478
0.1,460000,156.65175341627045,167.82100414298552,139.67188341728544
0.1,470000,156.29929013872228,167.47610286805806,139.1922487792134
0.1,480000,155.9550158728408,167.14068870677423,138.7230306767268
0.1,490000,155.6185755905321,166.81428248384188,138.26382703710078
0.1,500000,155.28963651109837,166.49643923616182,137.81425760444728
0.1,510000,154.9678862945192,166.18674511878652,137.37396243305702
0.1,520000,154.65303141366655,165.88481464475217,136.94260050659562
0.1,530000,154.34479568466466,165.5902882173296,136.51984847078802
0.1,540000,154.04291893736237,165.30282991906716,136.1053994685915
0.1,550000,153.7471558102365,165.0221255268391,135.6989620681346
0.1,560000,153.45727465604884,164.74788072627155,135.3002592747435
0.1,570000,153.1730565463,164.47981950243735,134.90902761933626
0.1,580000,152.89429436399774,164.21768268672787,134.5250163162711
0.1,590000,152.6207919755315,163.96122664239365,134.14798648445273
0.1,600000,152.35236347354146,163.71022207342028,133.7777104261734
0.1,610000,152.08883248362477,163.46445294338108,133.41397095865068
0.1,620000,151.83003152854582,163.22371549248672,133.0565607937875
0.1,630000,151.5758014443379,162.98781734247632,132.70528196210776
0.1,640000,151.32599084331133,162.75657668026403,132.35994527717605
0.1,650000,151.08045561953085,162.52982151230896,132.02036983717704
0.1,660000,150.83905849280734,162.30738898254413,131.68638256068434
0.1,670000,150.6016685876703,162.08912474763022,131.35781775382992
0.1,680000,150.36816104415917,161.87488240385838,131.03451670646112
0.1,690000,150.13841665760015,161.66452296080527,130.71632731495467
0.1,700000,149.91232154482395,161.45791435724158,130.4031037296862
0.1,710000,149.68976683453607,161.25493101537413,130.09470602525056
0.1,720000,149.47064837977908,161.05545342986554,129.7909998917267
0.1,730000,149.25486649062753,160.85936778848745,129.49185634541368
0.1,740000,149.04232568543645,160.666565621527,129.19715145762402
0.1,750000,148.83293445912355,160.47694347745409,128.90676610018625
0.1,760000,148.6266050671088,160.2904026225041,128.62058570648668
0.1,770000,148.42325332366312,160.1068487621408,128.33850004692607
0.1,780000,148.22279841353082,159.92619178253136,128.06040301777313
0.1,790000,148.0251627157952,159.74834551034715,127.7861924424914
0.1,800000,147.8302716390472,159.5732274893755,127.51576988467019
0.1,810000,147.638053467,159.40075877255256,127.24904047177611
0.1,820000,147.44843921376858,159.230863728197,126.9859127289739
0.1,830000,147.26136248809854,159.06346985927186,126.72629842237525
0.1,840000,147.0767593658906,158.89850763467925,126.47011241105832
0.1,850000,146.89456827042196,158.73591033162745,126.21727250730632
0.1,860000,146.71472985971477,158.57561388823527,125.96769934451464
0.1,870000,146.53718692054824,158.41755676558105,125.72131625228388
0.1,880000,146.36188426865044,158.26167981847362,125.47804913825111
0.1,890000,146.18876865464412,158.10792617434555,125.23782637619549
0.1,900000,146.01778867535438,157.9562411196066,125.00057870007653
0.1,910000,145.8488946901162,157.80657199296226,124.76623910360497
0.1,920000,145.6820387417489,157.65886808517845,124.53474274501264
0.1,930000,145.51717448188964,157.51308054483516,124.30602685671644
0.1,940000,145.35425710040096,157.36916228964714,124.08003065957172
0.1,950000,145.19324325859014,157.2270679229725,123.85669528144378
0.1,960000,145.03409102599605,157.08675365514884,123.6359636798397
0.1,970000,144.87675982051854,156.9481772293167,123.41778056837263
0.1,980000,144.72121035168058,156.8112978514409,123.20209234683145
