stress_ratio,cycles_to_failure,stress_parameter,stress_lowerbound,stress_upperbound
-1.0,670000,83.0910557050975,,
-1.0,680000,83.03363966782895,,
-1.0,690000,82.97709465358209,,
-1.0,700000,82.92139519659085,,
-1.0,710000,82.8665169237524,,
-1.0,720000,82.81243649322111,,
-1.0,730000,82.75913153724743,,
-1.0,740000,82.70658060891454,,
-1.0,750000,82.65476313245892,,
-1.0,760000,82.60365935688934,,
-1.0,770000,82.55325031264552,,
-1.0,780000,82.50351777106063,,
-1.0,790000,82.45444420641336,,
-1.0,800000,82.4060127603736,,
-1.0,810000,82.35820720866305,,
-1.0,820000,82.31101192976756,,
-1.0,830000,82.26441187555177,,
-1.0,840000,82.21839254363894,,
-1.0,850000,82.17293995143064,,
-1.0,860000,82.12804061165072,,
-1.0,870000,82.08368150930812,,
-1.0,880000,82.03985007998035,,
-1.0,890000,81.99653418932849,,
-1.0,900000,81.95372211376086,,
-1.0,910000,81.9114025221687,,
-1.0,920000,81.86956445866393,,
-1.0,930000,81.82819732625342,,
-1.0,940000,81.78729087138971,,
-1.0,950000,81.74683516934243,,
-1.0,960000,81.7068206103387,,
-1.0,970000,81.66723788642436,,
-1.0,980000,81.62807797900209,,
-1.0,990000,81.58933214700446,,
-1.0,1000000,81.55099191566387,,
-1.0,1010000,81.51304906584373,,
-1.0,1020000,81.4754956238973,,
-1.0,1030000,81.43832385202343,,
-1.0,1040000,81.40152623909029,,
-1.0,1050000,81.36509549190008,,
-1.0,1060000,81.32902452686967,,
-1.0,1070000,81.29330646210352,,
-1.0,1080000,81.25793460983695,,
-1.0,1090000,81.22290246922945,,
-1.0,1100000,81.18820371948843,,
-1.0,1110000,81.15383221330569,,
-1.0,1120000,81.11978197058947,,
-1.0,1130000,81.08604717247667,,
-1.0,1140000,81.05262215560987,,
-1.0,1150000,81.01950140666561,,
-1.0,1160000,80.98667955712072,,
-1.0,1170000,80.95415137824433,,
-1.0,1180000,80.92191177630409,,
-1.0,1190000,80.88995578797565,,
-1.0,1200000,80.85827857594523,,
-1.0,1210000,80.82687542469553,,
-1.0,1220000,80.79574173646601,,
-1.0,1230000,80.76487302737883,,
-1.0,1240000,80.73426492372258,,
-1.0,1250000,80.7039131583859,,
-1.0,1260000,80.67381356743405,,
-1.0,1270000,80.64396208682142,,
-1.0,1280000,80.61435474923371,,
-1.0,1290000,80.58498768105363,,
-1.0,1300000,80.55585709944442,,
-1.0,1310000,80.52695930954562,,
-1.0,1320000,80.4982907017761,,
-1.0,1330000,80.46984774923953,,
-1.0,1340000,80.44162700522737,,
-1.0,1350000,80.41362510081535,,
-1.0,1360000,80.38583874254903,,
-1.0,1370000,80.35826471021468,,
-1.0,1380000,80.33089985469171,,
-1.0,1390000,80.3037410958829,,
-1.0,1400000,80.27678542071949,,
-1.0,1410000,80.25002988123742,,
-1.0,1420000,80.22347159272216,,
-1.0,1430000,80.19710773191876,,
-1.0,1440000,80.17093553530489,,
-1.0,1450000,80.1449522974238,,
-1.0,1460000,80.11915536927499,,
-1.0,1470000,80.09354215676005,,
-1.0,1480000,80.06811011918164,,
-1.0,1490000,80.04285676779313,,
-1.0,1500000,80.01777966439711,,
-1.0,1510000,79.99287641999084,,
-1.0,1520000,79.96814469345647,,
