MD_N_cycles--1,MD_Load--1,MD_index--1,eyy--1,exx--1,exy--1
100000,236.897258,315,-0.000418703,0.00118548,2.24e-05
100000,437.756167,316,-0.0007496,0.00214766,6.56e-05
100000,639.484897,317,-0.00117373,0.00332033,0.000130393
105000,689.91307,318,-0.00125248,0.00369382,0.000166497
105000,764.129954,319,-0.00155224,0.00453784,0.000204537
105000,715.344591,320,-0.00161314,0.00470354,0.000214139
105000,544.024111,321,-0.00139849,0.00409467,0.000188244
105000,333.82363,322,-0.00100231,0.00298133,0.000146554
105000,152.388684,323,-0.000591917,0.00181628,8.48e-05
105000,79.460388,324,-0.000320294,0.00102324,5.17e-05
105000,130.935395,325,-0.000255914,0.000873202,4.5e-05
105000,301.418201,326,-0.00047121,0.00147304,8.69e-05
105000,511.538136,327,-0.000854294,0.00254325,0.000121762
110000,726.377266,328,-0.00141685,0.00402612,0.00017453
110000,762.08448,329,-0.00163369,0.00466278,0.000184345
110000,666.059947,330,-0.00160426,0.00457779,0.000192187
110000,472.60973,331,-0.00131212,0.00374779,0.000152867
110000,267.208893,332,-0.000889793,0.00256981,9.13e-05
110000,113.879064,333,-0.00050727,0.00148555,5.51e-05
110000,79.991888,334,-0.000286117,0.00087573,2.36e-05
110000,177.981236,335,-0.000323337,0.000980668,2.75e-05
110000,367.952412,336,-0.000569337,0.00166414,6.17e-05
110000,573.031173,337,-0.00100495,0.00291291,0.000115863
115000,636.521376,338,-0.001137,0.00331468,0.000141667
115000,749.602255,339,-0.00148675,0.00433169,0.000174277
115000,747.798373,340,-0.00163884,0.00474386,0.000200324
115000,603.519998,341,-0.00151332,0.00439849,0.000182302
115000,410.182555,342,-0.0011645,0.00339927,0.000156905
115000,205.377668,343,-0.000747491,0.00221309,8.49e-05
115000,84.340527,344,-0.000392668,0.00124304,3.66e-05
115000,100.639872,345,-0.000250415,0.000856319,3.41e-05
115000,229.440145,346,-0.000380167,0.00120447,3.52e-05
115000,436.612635,347,-0.000709902,0.00215901,7.56e-05
115000,640.853914,348,-0.0011344,0.00332829,0.00014915
120000,685.032924,349,-0.00130687,0.00368719,0.000153018
120000,768.430282,350,-0.00160472,0.00453671,0.000185312
120000,716.182108,351,-0.00166687,0.004717,0.000178517
120000,545.34481,352,-0.00144832,0.00411975,0.00016067
120000,336.36839,353,-0.0010572,0.00300289,0.000107857
120000,156.656794,354,-0.000625957,0.0018258,4.77e-05
120000,82.762132,355,-0.000349083,0.0010198,1.17e-05
120000,131.837335,356,-0.000291686,0.000861388,6.74e-06
120000,300.419624,357,-0.000505866,0.00144492,3.63e-05
120000,504.660838,358,-0.000880865,0.0025259,7.07e-05
125000,726.473903,359,-0.00142173,0.00406183,0.000166341
125000,765.064108,360,-0.00164724,0.00471266,0.000193526
125000,663.354124,361,-0.00161363,0.00463407,0.000202053
125000,480.694984,362,-0.0013177,0.00381659,0.000160174
125000,276.614842,363,-0.000896374,0.00263501,9.35e-05
125000,116.52046,364,-0.000509315,0.00154072,6.67e-05
125000,78.188008,365,-0.000292659,0.000932285,3.31e-05
125000,174.888869,366,-0.00032204,0.00102014,2.9e-05
125000,366.905517,367,-0.00056722,0.0016901,5.97e-05
125000,571.050125,368,-0.00100371,0.0029399,0.000120828
130000,753.934795,369,-0.00150621,0.00433365,0.000179711
130000,747.637312,370,-0.00165187,0.00474799,0.000197798
130000,609.914116,371,-0.00152549,0.004412,0.000178587
