Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
11.75003136,1,0.195313305,0.412370116
11.80004352,1,0.196228743,0.415815473
11.85005568,1,0.19695431,0.419258833
11.90006784,1,0.197876528,0.422435015
11.95008,1,0.19862923,0.426031172
12.00009216,1,0.199551433,0.429469138
12.05010432,1,0.200324476,0.433215111
12.10011648,1,0.201151758,0.436365843
12.15000576,1,0.202012941,0.439955801
12.20001792,1,0.202806324,0.443199575
12.25003008,1,0.203701422,0.446768433
12.30004224,1,0.204447329,0.449917942
12.3500544,1,0.205383107,0.453787833
12.40006656,1,0.206122234,0.457343996
12.45007872,1,0.207051232,0.460828066
12.50009088,1,0.20781748,0.46469748
12.55010304,1,0.208712578,0.467969656
12.6001152,1,0.20951274,0.471962392
12.65000448,1,0.210346803,0.475214124
12.70001664,1,0.211194426,0.478821158
12.7500288,1,0.211967468,0.482428193
12.80004096,1,0.212862551,0.486070931
12.85005312,1,0.213594899,0.489882588
12.90006528,1,0.214530677,0.493354261
12.95007744,1,0.215283379,0.497122884
13.0000896,1,0.216219157,0.500619292
13.05010176,1,0.216971844,0.504570842
13.10011392,1,0.217853382,0.507873297
13.1500032,1,0.218680665,0.511802018
13.20001536,1,0.219480813,0.515617788
13.25002752,1,0.22036235,0.51947701
13.30003968,1,0.221115038,0.523504794
13.35005184,1,0.222037256,0.527256966
13.400064,1,0.222749263,0.531068981
13.45007616,1,0.223678261,0.534667969
13.50008832,1,0.224451289,0.538823903
13.55010048,1,0.225332826,0.542606771
13.60011264,1,0.226146549,0.547048509
13.65000192,1,0.226994172,0.550701439
13.70001408,1,0.227868915,0.555222392
13.75002624,1,0.228648737,0.559143603
13.8000384,1,0.229577735,0.563441992
13.85005056,1,0.230323642,0.567557156
13.90006272,1,0.23123908,0.572038472
13.95007488,1,0.231971428,0.576099098
14.00008704,1,0.232880086,0.579545081
14.0500992,1,0.233639553,0.584225476
14.10011136,1,0.234466836,0.587755024
14.15000064,1,0.235321254,0.592507362
14.2000128,1,0.236107841,0.596708477
14.25002496,1,0.237036839,0.601015985
14.30003712,1,0.237803102,0.605233252
14.35004928,1,0.23873888,0.609902859
14.40006144,1,0.239478007,0.614348233
14.4500736,1,0.240393445,0.618471324
14.50008576,1,0.241139352,0.622918427
14.55009792,1,0.242007315,0.627300501
14.60011008,1,0.242821038,0.631943285
14.65012224,1,0.24362798,0.636333466
14.70001152,1,0.244502723,0.640808344
14.75002368,1,0.245255426,0.645072818
14.80003584,1,0.246191204,0.649714172
14.850048,1,0.246943891,0.654372394
14.90006016,1,0.247872889,0.658815265
14.95007232,1,0.248639137,0.663575411
15.00008448,1,0.249554574,0.667840183
15.05009664,1,0.250320822,0.672978222
15.1001088,1,0.25118202,0.677312136
15.15012096,1,0.252022862,0.682244182
15.20001024,1,0.25281623,0.686651587
15.2500224,1,0.253711343,0.69126755
15.30003456,1,0.25446403,0.695756435
15.35004672,1,0.255386233,0.700256169
15.40005888,1,0.256118596,0.705182493
15.45007104,1,0.257034034,0.70955652
15.5000832,1,0.257800281,0.714963317
15.55009536,1,0.258688599,0.719221771
15.60010752,1,0.259495527,0.724519134
15.65011968,1,0.260343164,0.72908783
15.70000896,1,0.261197567,0.734058857
15.75002112,1,0.261963814,0.73860383
15.80003328,1,0.262879252,0.743734658
15.85004544,1,0.263611615,0.748498321
15.9000576,1,0.264554173,0.753269196
15.95006976,1,0.2652933,0.758482933
16.00008192,1,0.266208738,0.763130009
16.05009408,1,0.266981751,0.768604696
16.10010624,1,0.267856508,0.773226798
16.1501184,1,0.268670231,0.778464377
16.20000768,1,0.269483954,0.782935143
16.25001984,1,0.270372272,0.788103044
16.300032,1,0.271138519,0.792956591
16.35004416,1,0.272060722,0.798493922
16.40005632,1,0.272799879,0.803688705
16.45006848,1,0.273742437,0.808601856
16.50008064,1,0.27450189,0.81392014
16.5500928,1,0.275403768,0.81900841
16.60010496,1,0.276197135,0.823989213
16.65011712,1,0.277038008,0.828625441
16.7000064,1,0.277851701,0.83427161
16.75001856,1,0.278611183,0.838533521
16.80003072,1,0.279533416,0.84366858
16.85004288,1,0.280272543,0.848587692
16.90005504,1,0.281208307,0.853349984
16.9500672,1,0.281954229,0.859111488
17.00007936,1,0.282883227,0.863716483
