Machine_Displacement,Machine_Load,u--1,v--1,exx--1,eyy--1,exy--1,Th_chamber
0.435029,272.910444,0.0161327,-0.218988,-0.00172342,0.00384531,0.000115384,50
0.434836,275.197507,0.0172436,-0.221154,-0.00174403,0.00388775,0.000120935,50
0.445337,276.630948,0.0154482,-0.223588,-0.00177338,0.00393361,0.000124495,50
0.450169,278.01607,0.0159996,-0.226071,-0.00173118,0.00399151,0.000113454,50
0.443533,283.862576,0.0195104,-0.228428,-0.00175659,0.00402278,0.000110832,50
0.448945,287.116004,0.0216257,-0.23079,-0.00177709,0.00407923,0.000101269,50
0.452488,289.386961,0.0212986,-0.233284,-0.00176935,0.00413436,0.000129978,50
0.46125,289.2259,0.0209852,-0.235821,-0.0017683,0.00418925,0.000145305,50
0.474393,294.395951,0.0201049,-0.238254,-0.00185384,0.00422947,0.000129953,50
0.473813,293.284632,0.0199206,-0.240685,-0.00185923,0.00426309,0.000134103,50
0.482446,298.358046,0.0158114,-0.243033,-0.00188592,0.00429918,0.000144238,50
0.494171,297.584954,0.0135005,-0.245508,-0.00189433,0.0043507,0.000152042,50
0.488051,304.220658,0.0149703,-0.248038,-0.00195061,0.00438834,0.000163888,50
0.493076,305.89569,0.0160467,-0.250543,-0.00196447,0.00443321,0.00018435,50
0.500807,306.958691,0.0150025,-0.253039,-0.0019839,0.00449044,0.000162989,50
0.49823,309.567876,0.0162488,-0.255715,-0.00196944,0.00453649,0.000172332,50
0.49591,312.966258,0.0177232,-0.258335,-0.00202701,0.00457379,0.000162514,50
0.512145,316.300217,0.0187917,-0.26084,-0.00202037,0.00462812,0.000163369,50
0.512403,319.553644,0.0155719,-0.263277,-0.00199367,0.0046628,0.000147532,50
0.521165,320.713282,0.0128927,-0.265825,-0.00199576,0.00471537,0.000138746,50
0.512596,325.287408,0.0137126,-0.268246,-0.00199523,0.00475616,0.000121971,50
0.52503,327.365092,0.0141527,-0.270859,-0.00202762,0.00481451,0.000112039,50
0.545904,327.059077,0.0116479,-0.273315,-0.0020407,0.00486164,0.000102234,50
0.539654,332.325765,0.0121084,-0.275857,-0.00210658,0.00490788,0.000107237,50
0.551186,332.309658,0.0140694,-0.278506,-0.00211181,0.00495055,9.38e-05,50
0.554536,333.131068,0.0172442,-0.280995,-0.00213056,0.00499011,7.86e-05,50
0.557886,336.078481,0.0164167,-0.283428,-0.00213086,0.00503626,5.86e-05,50
0.565811,340.76535,0.0141973,-0.285975,-0.00214367,0.00507916,3.91e-05,50
0.566455,341.844457,0.0148827,-0.288454,-0.00212331,0.00513175,3.21e-05,50
0.550027,350.074663,0.0151418,-0.290937,-0.0021779,0.0051961,6.51e-05,50
0.578824,349.446526,0.0118627,-0.293533,-0.00220397,0.00525042,6.82e-05,50
0.571931,351.459786,0.0106251,-0.296261,-0.00224059,0.00529752,8.26e-05,50
0.587457,353.038182,0.0112578,-0.298842,-0.00226001,0.00535971,9.95e-05,50
0.590936,353.972335,0.013402,-0.301467,-0.00231371,0.00543613,9.92e-05,50
0.584494,361.365025,0.0138223,-0.304408,-0.00233164,0.00548296,9.22e-05,50
0.596992,360.656358,0.0127768,-0.307321,-0.00234787,0.00551514,9.2e-05,50
0.605754,363.040057,0.0144725,-0.309899,-0.00239134,0.00555667,0.000115297,50
0.610199,365.117742,0.0155979,-0.312324,-0.00241209,0.00559996,0.000109961,50
0.608717,367.936306,0.0119424,-0.315083,-0.00241594,0.00563597,0.000107791,50
0.624179,368.757716,0.00959945,-0.317889,-0.00243392,0.00569093,0.000104514,50
0.619412,373.122463,0.00981946,-0.320445,-0.00246186,0.00574688,0.000110177,50
0.63468,378.099242,0.00973289,-0.325773,-0.0024956,0.00584878,0.00011662,50
0.641316,381.610367,0.00895015,-0.32856,-0.0024728,0.00590398,0.000126922,50
0.638352,382.319035,0.0118498,-0.33132,-0.00239544,0.00594232,0.000133729,50
0.651108,388.310497,0.0153275,-0.333835,-0.00249348,0.00598453,0.000147609,50
0.656971,387.408556,0.013314,-0.336535,-0.00258668,0.00603028,0.000148592,50
0.662447,389.937211,0.0107723,-0.339247,-0.00261342,0.00609718,0.000144047,50
0.667021,389.727832,0.0108715,-0.342013,-0.00256528,0.00614188,0.000125278,50
0.665024,398.473434,0.0107615,-0.344618,-0.00257608,0.00618694,0.000131589,50
0.666699,401.018195,0.00882719,-0.347146,-0.00259812,0.00623108,0.000138989,50
0.68622,399.778026,0.00560435,-0.34976,-0.00266481,0.00626087,0.000125821,50
0.666184,404.207199,0.00721228,-0.352531,-0.00276059,0.00630095,0.000122356,50
0.686155,405.125245,0.0109695,-0.354905,-0.00269244,0.00635169,0.000113285,50
0.69511,408.813538,0.0103485,-0.357583,-0.00264798,0.00640881,0.000110505,50
