Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.24923,221.934713,,,,,0.0113556,-0.132744,-0.000928748,0.0022134,-9.14e-05,,,,,,,,,20,,,
,,0.24923,222.578957,,,,,0.0109275,-0.134282,-0.000917503,0.00224408,-9.13e-05,,,,,,,,,20,,,
,,0.258314,226.847067,,,,,0.013141,-0.135697,-0.000935078,0.00228145,-9.14e-05,,,,,,,,,20,,,
,,0.255543,228.055022,,,,,0.0131809,-0.137285,-0.000927198,0.00231799,-9.1e-05,,,,,,,,,20,,,
,,0.259924,229.649524,,,,,0.0123266,-0.138898,-0.000942601,0.00235505,-6.47e-05,,,,,,,,,20,,,
,,0.260568,236.832833,,,,,0.0125727,-0.140427,-0.000945375,0.00238124,-6.23e-05,,,,,,,,,20,,,
,,0.283632,239.18432,,,,,0.0140761,-0.142271,-0.000957656,0.00240828,-4.14e-05,,,,,,,,,20,,,
,,0.275064,240.021836,,,,,0.0148484,-0.143992,-0.000960098,0.00243829,-2.73e-05,,,,,,,,,20,,,
,,0.278349,244.322159,,,,,0.0133758,-0.14569,-0.000966214,0.0024772,-2.07e-05,,,,,,,,,20,,,
,,0.28608,244.692598,,,,,0.0127509,-0.147329,-0.000967865,0.00251263,-1.65e-05,,,,,,,,,20,,,
,,0.291105,249.894861,,,,,0.0149362,-0.14904,-0.000988715,0.00254571,-6.94e-06,,,,,,,,,20,,,
,,0.29233,247.672222,,,,,0.0147986,-0.150563,-0.000987885,0.00257219,4.42e-06,,,,,,,,,20,,,
,,0.282988,252.681212,,,,,0.0131785,-0.15206,-0.000979411,0.00260895,3.51e-06,,,,,,,,,20,,,
,,0.294391,257.142595,,,,,0.0137147,-0.153707,-0.000972854,0.00265803,7.77e-07,,,,,,,,,20,,,
,,0.305408,257.609671,,,,,0.0151864,-0.155663,-0.000982075,0.00270473,1.51e-05,,,,,,,,,20,,,
,,0.30006,264.776875,,,,,0.014254,-0.158935,-0.000975636,0.00281098,3.12e-05,,,,,,,,,20,,,
,,0.29729,264.213163,,,,,0.0134894,-0.160699,-0.000971656,0.0028481,2.12e-05,,,,,,,,,20,,,
,,0.31243,267.46659,,,,,0.0158868,-0.162675,-0.00098022,0.00286862,3.11e-06,,,,,,,,,20,,,
,,0.323318,272.072928,,,,,0.0166458,-0.164549,-0.000999887,0.00288997,-5.42e-06,,,,,,,,,20,,,
,,0.30573,273.119823,,,,,0.0146569,-0.166407,-0.00099773,0.00291814,-2.15e-06,,,,,,,,,20,,,
,,0.319323,281.027907,,,,,0.0171468,-0.170084,-0.00105657,0.00296916,-1.33e-05,,,,,,,,,20,,,
,,0.332788,285.908048,,,,,0.0178119,-0.172029,-0.00109815,0.00299229,1.08e-05,,,,,,,,,20,,,
,,0.338844,291.738448,,,,,0.0158752,-0.175763,-0.00116127,0.00305314,-3.88e-06,,,,,,,,,20,,,
,,0.342645,297.536636,,,,,0.0186489,-0.179008,-0.00120627,0.00309907,1.01e-05,,,,,,,,,20,,,
,,0.350505,300.693427,,,,,0.0163659,-0.180682,-0.00125019,0.00312677,2.02e-05,,,,,,,,,20,,,
,,0.354628,303.592521,,,,,0.0182512,-0.184224,-0.00134488,0.00320008,1.01e-05,,,,,,,,,20,,,
,,0.359266,307.425768,,,,,0.0192376,-0.185938,-0.00137932,0.00324201,-6.2e-06,,,,,,,,,20,,,
