Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,3.404746582,0.985010294,,,,,,,,,,,,,
1,3.272486328,0.954293064,,,,,,,,,,,,,
1,3.136779541,0.923148531,,,,,,,,,,,,,
1,2.998142334,0.892184675,,,,,,,,,,,,,
1,2.863401855,0.859196123,,,,,,,,,,,,,
1,2.727064209,0.828443852,,,,,,,,,,,,,
1,2.593496582,0.797787681,,,,,,,,,,,,,
1,2.460382813,0.766378304,,,,,,,,,,,,,
1,2.329810059,0.734580273,,,,,,,,,,,,,
1,2.202290771,0.702663907,,,,,,,,,,,,,
1,2.075874512,0.673155475,,,,,,,,,,,,,
1,1.952072754,0.641219318,,,,,,,,,,,,,
1,1.832165894,0.612940232,,,,,,,,,,,,,
1,1.716545166,0.584387046,,,,,,,,,,,,,
1,1.607245361,0.557307096,,,,,,,,,,,,,
1,1.49954248,0.530060788,,,,,,,,,,,,,
1,1.39710498,0.503799703,,,,,,,,,,,,,
2,1.30056958,0.480523711,,,,,,,,,,,,,
2,1.213483398,0.458898779,,,,,,,,,,,,,
2,1.134520508,0.437922426,,,,,,,,,,,,,
2,1.062085083,0.420471275,,,,,,,,,,,,,
2,0.998660645,0.402091799,,,,,,,,,,,,,
2,0.942862793,0.388120854,,,,,,,,,,,,,
2,0.898150146,0.376044569,,,,,,,,,,,,,
2,0.869354431,0.364749867,,,,,,,,,,,,,
2,0.840906921,0.357016921,,,,,,,,,,,,,
2,0.818832031,0.350508461,,,,,,,,,,,,,
2,0.814726501,0.346713903,,,,,,,,,,,,,
2,0.817899414,0.345269189,,,,,,,,,,,,,
2,0.832589905,0.344340137,,,,,,,,,,,,,
2,0.851852051,0.349058217,,,,,,,,,,,,,
2,0.880044312,0.352922449,,,,,,,,,,,,,
2,0.932725525,0.360449019,,,,,,,,,,,,,
2,0.991898682,0.369686633,,,,,,,,,,,,,
2,1.062582642,0.381378079,,,,,,,,,,,,,
2,1.141123047,0.396296033,,,,,,,,,,,,,
2,1.230911499,0.410945358,,,,,,,,,,,,,
2,1.323516968,0.430616725,,,,,,,,,,,,,
2,1.433971313,0.450106716,,,,,,,,,,,,,
2,1.5545354,0.473117077,,,,,,,,,,,,,
2,1.682319214,0.497979694,,,,,,,,,,,,,
2,1.809106445,0.521969108,,,,,,,,,,,,,
2,1.949690674,0.549989927,,,,,,,,,,,,,
2,2.084918457,0.578299863,,,,,,,,,,,,,
2,2.222180176,0.607433554,,,,,,,,,,,,,
2,2.354858154,0.635745761,,,,,,,,,,,,,
