N_cycles,Load,eyy,exx,Specimen_name
1410,717.734248,-0.00217057,0.00607796,
1410,723.569278,-0.00216967,0.00607745,
1410,698.311527,-0.00209154,0.00584017,
1410,638.116125,-0.001913,0.00535968,
1410,556.411459,-0.00169876,0.00475234,
1410,456.955588,-0.00144598,0.00404214,
1410,354.307052,-0.001183,0.00332096,
1410,257.039574,-0.00095241,0.0026749,
1410,176.538074,-0.000744383,0.00213897,
1410,111.870261,-0.000613423,0.00173399,
1410,78.179048,-0.000546308,0.00154799,
1410,74.807512,-0.000548063,0.00156901,
1410,98.079808,-0.000630724,0.00179898,
1410,158.15885,-0.00079401,0.00227322,
1410,238.496113,-0.00125226,0.00355793,
1410,444.628675,-0.00150989,0.00428326,
1610,537.911397,-0.00174592,0.00495882,
1610,623.050382,-0.00195793,0.00553818,
1610,687.670333,-0.00209592,0.00593294,
1610,717.642472,-0.00216082,0.00611574,
1610,723.008961,-0.00216657,0.0061024,
1610,697.466221,-0.00206692,0.00585408,
1610,637.183874,-0.00190288,0.00538863,
1610,556.710937,-0.00168091,0.00478082,
1610,454.158846,-0.00142203,0.00404937,
1610,353.630812,-0.00116323,0.00335457,
1610,257.266597,-0.000938862,0.00269726,
1610,173.949042,-0.000735625,0.00215246,
1610,110.517782,-0.000598114,0.00176515,
1610,77.831268,-0.000537892,0.00158454,
1610,73.599942,-0.000544324,0.00159885,
1610,98.268189,-0.000620206,0.00183083,
1610,157.738616,-0.000794053,0.00229928,
1610,239.950029,-0.00124591,0.0035699,
1610,445.599564,-0.00151468,0.00432515,
1810,539.268712,-0.0017745,0.00500419,
1810,622.436932,-0.00197756,0.00557859,
1810,687.254926,-0.00212348,0.00597027,
1810,718.275245,-0.00219251,0.00615001,
1810,723.912231,-0.00219426,0.00614833,
1810,697.277838,-0.00209386,0.00588255,
1810,637.449541,-0.00193349,0.00541973,
1810,555.971901,-0.00171026,0.00480452,
1810,454.260283,-0.00144897,0.00409194,
1810,353.640472,-0.00119278,0.00338425,
1810,256.416467,-0.000961895,0.00274312,
1810,173.108573,-0.000758058,0.00218199,
1810,109.488932,-0.000623482,0.00179269,
1810,78.058291,-0.000562421,0.00162642,
1810,73.06378,-0.000568471,0.00163393,
1810,98.688423,-0.000653187,0.00186039,
1810,159.69971,-0.000818426,0.00234067,
1810,239.747157,-0.00102007,0.00291625,
1810,337.652218,-0.00127092,0.00361476,
1810,445.469146,-0.00153551,0.00435745,
2010,537.119227,-0.00183434,0.00496962,
2010,626.165932,-0.00204842,0.00555177,
2010,685.148907,-0.00218569,0.00592786,
2010,718.825901,-0.00225413,0.0061176,
2010,723.43886,-0.00224963,0.00609836,
2010,696.340756,-0.00215877,0.00583717,
2010,635.942484,-0.00199306,0.00538004,
2010,555.686913,-0.00176967,0.0047664,
2010,451.574639,-0.0015131,0.00403928,
2010,353.012535,-0.0012558,0.00333649,
2010,255.880306,-0.00102595,0.00268977,
2010,173.152046,-0.000824086,0.00215208,
2010,109.657992,-0.000690171,0.00175554,
2010,78.681398,-0.000626613,0.00158106,
2010,73.58062,-0.000639499,0.00160013,
2010,99.804218,-0.00071555,0.00183472,
2010,158.342401,-0.000887297,0.00229333,
2010,242.196111,-0.0010974,0.00288321,
2010,337.599085,-0.00134237,0.00359295,
2010,446.541471,-0.0016061,0.00431928,
2210,539.621324,-0.00177102,0.00503747,
2210,625.122585,-0.00198373,0.00562344,
2210,687.993965,-0.00212279,0.00600207,
2210,717.816364,-0.00218457,0.00617419,
2210,723.120058,-0.00218983,0.00617115,
2210,698.606176,-0.00208939,0.00591199,
2210,634.623809,-0.00192964,0.00543368,
2210,555.372943,-0.00170889,0.00482972,
2210,452.540698,-0.00143977,0.00409606,
2210,352.162404,-0.00119906,0.00340608,
2210,255.397277,-0.000965016,0.00275475,
2210,172.36471,-0.00076644,0.00221724,
2210,109.952639,-0.000627201,0.00182338,
2210,79.323825,-0.000566356,0.00165661,
2210,74.918608,-0.000575362,0.0016711,
2210,99.297039,-0.000655012,0.00190095,
2210,160.627124,-0.000828998,0.00238342,
2210,243.002768,-0.00103954,0.00295709,
2210,336.232113,-0.00127911,0.00365042,
2210,448.454268,-0.00155326,0.00441317,
2410,539.143124,-0.00181899,0.00494518,
2410,625.537992,-0.00202965,0.00553363,
2410,687.042392,-0.0021617,0.00589632,
2410,716.821317,-0.00223232,0.00608248,
2410,724.525682,-0.00222402,0.00606483,
2410,696.500157,-0.00212431,0.00580512,
2410,634.889476,-0.00197015,0.00534212,
2410,554.305446,-0.00174273,0.00472365,
2410,450.415368,-0.0014839,0.00400429,
2410,351.650393,-0.00123889,0.00330795,
2410,252.156156,-0.00100397,0.00265042,
2410,172.905701,-0.000801314,0.00212561,
2410,110.271438,-0.000665347,0.00172876,
2410,77.401373,-0.000603166,0.00155907,
2410,74.411429,-0.000616865,0.00157764,
2410,99.939466,-0.000690688,0.00181364,
2410,158.960677,-0.000863655,0.00228564,
2410,242.418304,-0.00107204,0.00287604,
2410,337.782636,-0.00130823,0.00356039,
2410,447.454397,-0.00159358,0.00432415,
2610,541.012451,-0.00188151,0.0049756,
2610,626.484733,-0.0020851,0.00555689,
2610,686.786385,-0.00222341,0.00593499,
2610,718.20279,-0.0022861,0.00610959,
2610,722.294073,-0.00228517,0.00609195,
2610,695.33605,-0.00218581,0.00583608,
2610,634.33882,-0.00202261,0.00536413,
2610,553.126852,-0.00179808,0.00474811,
2610,452.212238,-0.00153779,0.00403953,
