MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
19500,80.217373,351,-0.000238609,0.00120447,-0.0000776
19500,147.685711,352,-0.000174822,0.00102153,-0.0000681
19500,354.809851,353,-0.000444087,0.00181901,-0.000089
19500,604.95344,354,-0.000947809,0.00323096,-0.000100957
20500,855.499853,355,-0.00159067,0.00504921,-0.0001533
20500,917.105697,356,-0.00191994,0.00595796,-0.000172917
20500,831.050792,357,-0.00192398,0.00595452,-0.000161659
20500,591.923615,358,-0.00157726,0.00498809,-0.000154013
20500,337.254225,359,-0.00105354,0.00347958,-0.000113251
20500,154.079822,360,-0.000541953,0.00201529,-0.0000949
20500,104.891875,361,-0.000263019,0.00121719,-0.0000796
20500,201.415574,362,-0.000274617,0.00123451,-0.000083
20500,430.717809,363,-0.000615627,0.00221924,-0.0000899
20500,670.45691,364,-0.00113044,0.00370022,-0.000115457
21500,898.309874,365,-0.00172475,0.00543224,-0.000159259
21500,917.13791,366,-0.00194386,0.00609665,-0.000172214
21500,775.355904,367,-0.00186117,0.00581796,-0.000175185
21500,538.22592,368,-0.000905515,0.00310193,-0.000107782
21500,119.22628,369,-0.00043051,0.00173583,-0.00009
21500,108.64459,370,-0.000204444,0.00110541,-0.0000823
21500,247.897708,371,-0.00031044,0.00141098,-0.0000733
21500,483.67461,372,-0.000706679,0.00254025,-0.000113956
21500,723.671442,373,-0.00122855,0.00402712,-0.000120087
22500,779.656232,374,-0.0013797,0.00445956,-0.000133267
22500,902.932326,375,-0.00179399,0.00563892,-0.00016261
22500,880.415993,376,-0.00194834,0.00606296,-0.000161759
22500,709.836307,377,-0.00176103,0.00553014,-0.00015491
22500,457.357269,378,-0.00129421,0.00420299,-0.000124363
22500,222.772229,379,-0.000755384,0.00266141,-0.00010492
22500,93.810898,380,-0.000353682,0.00153541,-0.0000678
22500,122.109267,381,-0.000183762,0.00102961,-0.00006
22500,294.814709,382,-0.000370945,0.00158195,-0.000058
22500,540.045907,383,-0.000822188,0.00287259,-0.000101704
