N_cycles,Load,eyy,exx,Specimen_name
65000,105.142976,-0.000495771,0.0015292,
65000,52.901871,-0.000383119,0.00123739,
65000,93.176758,-0.000582067,0.00176925,
65000,204.978502,-0.00101978,0.0028544,
65000,348.618534,-0.00147039,0.00413659,
70000,471.588579,-0.00187169,0.00517599,
70000,520.181659,-0.0019354,0.00540822,
70000,469.450357,-0.0017805,0.00477102,
70000,349.136986,-0.00127759,0.00361591,
70000,213.206091,-0.000866616,0.00240538,
70000,97.736544,-0.000468928,0.00148856,
70000,51.047043,-0.000396584,0.00126511,
70000,99.820006,-0.000611314,0.00185732,
70000,218.690077,-0.00102967,0.00299891,
70000,356.572431,-0.00153587,0.00419077,
75000,479.204387,-0.00186604,0.00527887,
75000,519.701846,-0.00198012,0.00540057,
75000,461.963361,-0.00170636,0.0047388,
75000,338.455582,-0.00124385,0.00353896,
75000,201.458834,-0.000814866,0.00233382,
75000,89.676414,-0.000453336,0.00145524,
75000,52.109705,-0.000405425,0.00129988,
75000,105.445674,-0.000640005,0.00194354,
75000,228.827241,-0.00109969,0.00309526,
75000,366.92216,-0.001523,0.00431441,
80000,484.923489,-0.00192116,0.00531106,
80000,518.938654,-0.00194134,0.0053859,
80000,452.576442,-0.00171124,0.00463785,
80000,331.15217,-0.00122353,0.00348762,
80000,190.92237,-0.000788418,0.00225019,
80000,84.775288,-0.00045429,0.00143457,
80000,55.12058,-0.000428309,0.00135129,
80000,114.294751,-0.00067118,0.00203,
80000,238.932205,-0.00111731,0.00319407,
80000,377.571371,-0.00158633,0.00442384,
85000,491.805092,-0.00193341,0.00538575,
85000,518.085295,-0.0019738,0.00539377,
85000,444.477611,-0.00164942,0.00458873,
85000,320.976342,-0.00121296,0.00341333,
85000,180.968762,-0.000753833,0.00218917,
85000,77.536306,-0.000442012,0.00142176,
85000,56.450518,-0.000444832,0.00138291,
85000,119.315024,-0.000702568,0.00212551,
85000,250.148137,-0.00120995,0.00333182,
85000,388.355834,-0.00161817,0.00454985,
90000,499.93292,-0.00200549,0.00542256,
90000,512.00552,-0.00197585,0.0053209,
90000,438.893766,-0.00161124,0.00455445,
90000,309.525318,-0.00121835,0.00329446,
90000,170.551448,-0.000702872,0.00212263,
90000,74.415945,-0.000426621,0.00139274,
90000,58.176538,-0.000455549,0.00142662,
90000,130.179939,-0.000734443,0.00222884,
90000,259.325689,-0.00126726,0.00342078,
90000,398.319148,-0.00164645,0.00463673,
95000,506.151162,-0.00206374,0.00544857,
95000,507.925502,-0.00190582,0.00528717,
95000,430.672571,-0.00165502,0.00445424,
95000,299.552368,-0.00113798,0.0031906,
95000,159.966686,-0.000687078,0.00203828,
95000,73.14397,-0.000452892,0.00138928,
95000,61.338763,-0.000461606,0.00147857,
95000,137.467226,-0.000800336,0.00229502,
95000,271.520565,-0.00129916,0.00352617,
95000,407.306743,-0.00169471,0.00471066,
100000,507.693646,-0.00200947,0.00547417,
100000,507.297559,-0.00194866,0.00528449,
100000,421.131093,-0.00157128,0.00435119,
100000,286.913098,-0.00112933,0.00310307,
100000,153.506986,-0.000674131,0.00198201,
100000,64.082362,-0.000436744,0.0013481,
100000,62.749205,-0.000483454,0.00150825,
100000,146.470874,-0.000831407,0.00239887,
100000,282.304998,-0.00131942,0.00361552,
100000,414.73254,-0.00173566,0.00478703,
105000,512.771932,-0.00208732,0.00550491,
105000,502.628243,-0.00190416,0.00522604,
105000,411.705546,-0.00155567,0.004271,
105000,276.624573,-0.0011112,0.00300755,
105000,143.862521,-0.000654106,0.00193111,
105000,63.444765,-0.000452584,0.00135245,
105000,66.880705,-0.000512693,0.00157965,
105000,156.034835,-0.000875539,0.00249123,
105000,292.628945,-0.00138508,0.00372488,
105000,423.604213,-0.001752,0.00486658,
110000,514.475428,-0.00199564,0.005507,
110000,499.243793,-0.00194707,0.00520354,
110000,403.790278,-0.00150632,0.00418788,
110000,264.758156,-0.00108115,0.00294213,
110000,136.881152,-0.000641015,0.00186759,
110000,58.617704,-0.00044646,0.00133804,
110000,70.951023,-0.000545479,0.00163038,
110000,167.888352,-0.000943121,0.00260347,
110000,302.669518,-0.00136966,0.00382993,
