Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.24669978,0.088403587,,,,
0.247486368,0.08898278,,,,
0.248415366,0.089559677,,,,
0.249147713,0.090301384,,,,
0.250090271,0.090777893,,,,
0.250829399,0.091400047,,,,
0.251744837,0.091923424,,,,
0.252504319,0.092531479,,,,
0.253351927,0.093448853,,,,
0.254199564,0.094251297,,,,
0.254986167,0.094968292,,,,
0.255901605,0.095427689,,,,
0.256654292,0.095963608,,,,
0.257590055,0.096600372,,,,
0.258329213,0.097016891,,,,
0.259251416,0.097855186,,,,
0.259997338,0.098445549,,,,
0.260872066,0.09901767,,,,
0.261679024,0.10019001,,,,
0.262499511,0.100661354,,,,
0.263367474,0.101208595,,,,
0.264126956,0.102234367,,,,
0.265055954,0.102474571,,,,
0.265815437,0.103087814,,,,
0.266757995,0.103651367,,,,
0.267524242,0.104319679,,,,
0.26843968,0.10493322,,,,
0.269199163,0.105733391,,,,
0.270067126,0.106681213,,,,
0.270901173,0.107242805,,,,
0.271708131,0.10795475,,,,
0.272596449,0.108526955,,,,
0.273376256,0.109110596,,,,
0.274298459,0.109692688,,,,
0.275024027,0.110457359,,,,
0.275946259,0.110913765,,,,
0.276698947,0.111644142,,,,
0.277600825,0.112317657,,,,
0.278373867,0.11319223,,,,
0.27922827,0.113723366,,,,
0.280062318,0.114458046,,,,
0.28084892,0.115069,,,,
0.281750798,0.115715309,,,,
0.282503486,0.116254593,,,,
0.283432484,0.116907898,,,,
0.284178406,0.117631325,,,,
0.285114169,0.118346909,,,,
0.285873652,0.119177589,,,,
0.286761969,0.119903748,,,,
0.287562102,0.120498672,,,,
0.28839618,0.121138481,,,,
0.289257377,0.122011688,,,,
0.290050745,0.122378006,,,,
0.290972948,0.123119377,,,,
0.29173243,0.123788315,,,,
0.292674989,0.124243744,,,,
0.293414116,0.125254463,,,,
0.294336349,0.12583931,,,,
0.295109361,0.126545471,,,,
0.296004474,0.127042618,,,,
0.296784282,0.127768661,,,,
0.297591209,0.128423889,,,,
0.298479527,0.128928635,,,,
0.29922545,0.129495483,,,,
0.300154448,0.130328644,,,,
0.30088678,0.130907318,,,,
0.301829338,0.131861389,,,,
0.30257526,0.132368469,,,,
0.303470343,0.132821442,,,,
0.304277301,0.133630753,,,,
0.305104584,0.134270935,,,,
0.305958986,0.134767822,,,,
0.306725234,0.135318192,,,,
0.307633907,0.135976074,,,,
0.308366239,0.136496582,,,,
0.309295237,0.137362625,,,,
0.310061485,0.138007385,,,,
0.310983717,0.138643631,,,,
0.311777085,0.139379776,,,,
0.312665403,0.139798203,,,,
0.313499451,0.140536301,,,,
0.314319968,0.140895523,,,,
0.315201491,0.141552765,,,,
0.315954179,0.142186081,,,,
0.316889971,0.142825714,,,,
0.317622304,0.143800323,,,,
0.318551302,0.144391983,,,,
0.319283664,0.145106262,,,,
0.320171982,0.145549683,,,,
0.320972145,0.146220947,,,,
0.321812987,0.146604584,,,,
0.32268095,0.147059814,,,,
0.323481113,0.147715958,,,,
0.324376196,0.148373901,,,,
0.325108558,0.149250244,,,,
0.326044321,0.14977449,,,,
0.326763123,0.150498596,,,,
0.327685326,0.151296524,,,,
0.328444809,0.151786865,,,,
0.329326332,0.152583557,,,,
0.330153614,0.152960159,,,,
0.330960542,0.153338364,,,,
0.33184886,0.154094406,,,,
0.332621902,0.154980118,,,,
0.333544105,0.155658936,,,,
0.334276468,0.156442001,,,,
0.335225821,0.156977448,,,,
0.335971713,0.15752829,,,,
0.336900711,0.158131378,,,,
0.337673753,0.158748795,,,,
0.338548511,0.159483932,,,,
0.339382559,0.15995076,,,,
0.340196282,0.160442108,,,,
0.341077805,0.161464767,,,,
0.341830492,0.162224091,,,,
0.34274593,0.162883896,,,,
0.343464732,0.163440277,,,,
0.34439373,0.16414505,,,,
0.345146418,0.164903412,,,,
0.346055061,0.165333221,,,,
0.346841663,0.165851028,,,,
0.347696066,0.166401031,,,,
0.348550469,0.167047058,,,,
0.349337071,0.167666336,,,,
0.350245744,0.168658859,,,,
0.350991637,0.169125015,,,,
0.351920635,0.169754715,,,,
