Nb of cycle	Image name	Date	Time	Time [ms]	ai0	ai1	ai2	ai3	ai4	ai5	ai6	ai7	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0059_0.tif	2020.11.01	19:33:03	,116	3,038554	-68,726110	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0060_0.tif	2020.11.01	19:33:03	,367	3,143733	-68,686667	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0061_0.tif	2020.11.01	19:33:03	,615	3,250557	-68,605318	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0062_0.tif	2020.11.01	19:33:03	,866	3,349163	-68,578201	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0063_0.tif	2020.11.01	19:33:04	,115	3,375458	-68,533829	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0064_0.tif	2020.11.01	19:33:04	,365	3,365597	-68,583131	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0065_0.tif	2020.11.01	19:33:04	,617	3,298216	-68,563410	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0066_0.tif	2020.11.01	19:33:04	,867	3,176602	-68,641062	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0067_0.tif	2020.11.01	19:33:05	,116	2,967886	-68,664481	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0068_0.tif	2020.11.01	19:33:05	,368	2,727944	-68,687900	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0069_0.tif	2020.11.01	19:33:05	,616	2,423909	-68,793901	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0070_0.tif	2020.11.01	19:33:05	,865	2,110012	-68,871553	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0071_0.tif	2020.11.01	19:33:06	,116	1,763247	-68,904832	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0072_0.tif	2020.11.01	19:33:06	,365	1,429630	-69,028089	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0073_0.tif	2020.11.01	19:33:06	,615	1,137098	-69,104508	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0074_0.tif	2020.11.01	19:33:06	,867	0,865931	-69,105741	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0075_0.tif	2020.11.01	19:33:07	,119	0,676936	-69,178463	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0076_0.tif	2020.11.01	19:33:07	,368	0,506019	-69,212975	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0077_0.tif	2020.11.01	19:33:07	,617	0,420560	-69,254882	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0078_0.tif	2020.11.01	19:33:07	,865	0,384405	-69,263510	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0079_0.tif	2020.11.01	19:33:08	,116	0,415630	-69,275836	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0080_0.tif	2020.11.01	19:33:08	,368	0,486298	-69,214207	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0081_0.tif	2020.11.01	19:33:08	,615	0,634207	-69,204347	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0082_0.tif	2020.11.01	19:33:08	,867	0,839637	-69,178463	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0083_0.tif	2020.11.01	19:33:09	,116	1,094369	-69,146416	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0084_0.tif	2020.11.01	19:33:09	,368	1,391831	-69,086020	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0085_0.tif	2020.11.01	19:33:09	,617	1,700797	-69,004670	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0086_0.tif	2020.11.01	19:33:09	,868	2,027841	-68,891274	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0087_0.tif	2020.11.01	19:33:10	,116	2,381179	-68,798831	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0088_0.tif	2020.11.01	19:33:10	,365	2,729588	-68,729807	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0089_0.tif	2020.11.01	19:33:10	,616	3,068135	-68,650923	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0090_0.tif	2020.11.01	19:33:10	,866	3,375458	-68,562178	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0091_0.tif	2020.11.01	19:33:11	,117	3,633477	-68,511642	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0092_0.tif	2020.11.01	19:33:11	,366	3,861915	-68,394548	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0093_0.tif	2020.11.01	19:33:11	,617	4,044336	-68,346478	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0094_0.tif	2020.11.01	19:33:11	,866	4,197176	-68,245407	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0095_0.tif	2020.11.01	19:33:12	,118	4,303999	-68,176383	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0096_0.tif	2020.11.01	19:33:12	,368	4,343441	-68,103662	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0097_0.tif	2020.11.01	19:33:12	,616	4,313860	-68,119685	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0098_0.tif	2020.11.01	19:33:12	,867	4,210323	-68,109824	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0099_0.tif	2020.11.01	19:33:13	,118	4,036119	-68,143104	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0100_0.tif	2020.11.01	19:33:13	,366	3,812612	-68,199802	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
