N_cycles,Load,eyy,exx,Specimen_name
1010,131.471544,-0.00091449,0.00256109,
1010,202.486351,-0.0010097,0.00279735,
1010,305.917231,-0.00121582,0.00334572,
1010,451.685735,-0.00151648,0.0041485,
1010,601.487878,-0.0023121,0.00624755,
1010,749.653034,-0.00273483,0.007367,
1210,898.427434,-0.00311144,0.00846208,
1210,982.770291,-0.00334574,0.00912469,
1210,1068.345168,-0.00355955,0.00967825,
1210,1090.110873,-0.00358614,0.00975201,
1210,1067.799335,-0.00350657,0.00956696,
1210,1010.93616,-0.00330031,0.00902219,
1210,890.819635,-0.00295638,0.00813435,
1210,754.570307,-0.0025538,0.00705686,
1210,595.609393,-0.00215698,0.00592306,
1210,451.149573,-0.00178104,0.00487331,
1210,310.810312,-0.0014049,0.00390226,
1210,200.520426,-0.00115744,0.00322608,
1210,140.267487,-0.00101327,0.00283185,
1210,110.47914,-0.000928941,0.00269363,
1210,130.72768,-0.000990217,0.00293952,
1210,201.78596,-0.0011881,0.00347236,
1210,308.322714,-0.00151404,0.0043097,
1210,454.100883,-0.0019132,0.00535135,
1210,599.671682,-0.00231238,0.00638019,
1210,750.169878,-0.00274255,0.00752371,
1410,899.910351,-0.00313247,0.0085879,
1410,982.572246,-0.00337061,0.00923364,
1410,1068.349998,-0.00358486,0.00980438,
1410,1091.279827,-0.00360979,0.0098799,
1410,1067.924925,-0.00352788,0.00965878,
1410,1011.791136,-0.00333558,0.00913769,
1410,890.76167,-0.00299228,0.00821619,
1410,748.904333,-0.00256781,0.00712038,
1410,596.860443,-0.00215807,0.00604747,
1410,449.116018,-0.00175183,0.00497872,
1410,310.679894,-0.0013818,0.00400448,
1410,200.254761,-0.00112017,0.00331578,
1410,138.760439,-0.000967898,0.00292712,
1410,108.682275,-0.000913107,0.00276734,
1410,130.423373,-0.0010012,0.00301865,
1410,204.080345,-0.00120786,0.00356297,
1410,309.481983,-0.00152627,0.00439536,
1410,454.265113,-0.00192499,0.00544704,
1410,601.859812,-0.00231441,0.00649086,
1410,750.454868,-0.00274059,0.00761014,
1610,899.287236,-0.00315349,0.00867172,
1610,984.224231,-0.00340657,0.0093422,
1610,1068.557704,-0.00361845,0.00988037,
1610,1089.584361,-0.0036406,0.00995632,
1610,1068.24373,-0.0035741,0.00974375,
1610,1009.453237,-0.00336573,0.00921137,
1610,891.210893,-0.00301316,0.00828954,
1610,749.145849,-0.00260414,0.00720434,
1610,596.309788,-0.00218991,0.00611358,
1610,447.159749,-0.00178461,0.00505185,
1610,309.670364,-0.00140794,0.00407381,
1610,198.158418,-0.00114562,0.00338071,
1610,139.943858,-0.0010001,0.00299481,
1610,110.13619,-0.00093264,0.00284073,
1610,131.094782,-0.00102962,0.00309175,
1610,204.230083,-0.0012428,0.00365487,
1610,311.090468,-0.00155459,0.00447901,
1610,455.540311,-0.00195726,0.00553418,
1610,601.806679,-0.00235349,0.00657077,
