Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
9,6.226363281,3.147629322,,,,,,,,,,,,,
9,6.178584473,3.140572459,,,,,,,,,,,,,
10,6.136903809,3.131616861,,,,,,,,,,,,,
10,6.088973633,3.122992814,,,,,,,,,,,,,
10,6.055735352,3.11583234,,,,,,,,,,,,,
10,6.014112305,3.109687241,,,,,,,,,,,,,
10,5.992027344,3.102810355,,,,,,,,,,,,,
10,5.973594727,3.100152593,,,,,,,,,,,,,
10,5.965485352,3.098099027,,,,,,,,,,,,,
10,5.964283203,3.09863803,,,,,,,,,,,,,
10,5.975094238,3.101322101,,,,,,,,,,,,,
10,5.995771484,3.106872085,,,,,,,,,,,,,
10,6.034355957,3.115585074,,,,,,,,,,,,,
10,6.069143555,3.12457839,,,,,,,,,,,,,
10,6.115341797,3.135195468,,,,,,,,,,,,,
10,6.149668457,3.14642,,,,,,,,,,,,,
10,6.189683105,3.157399828,,,,,,,,,,,,,
10,6.226532715,3.168255091,,,,,,,,,,,,,
10,6.260834473,3.179176711,,,,,,,,,,,,,
10,6.293161133,3.188755596,,,,,,,,,,,,,
10,6.317625977,3.197556362,,,,,,,,,,,,,
10,6.337813965,3.205714049,,,,,,,,,,,,,
10,6.347294922,3.211390227,,,,,,,,,,,,,
10,6.35403418,3.217236837,,,,,,,,,,,,,
10,6.350304688,3.220636863,,,,,,,,,,,,,
10,6.333495605,3.22026806,,,,,,,,,,,,,
10,6.308106445,3.217750229,,,,,,,,,,,,,
10,6.272697754,3.211594885,,,,,,,,,,,,,
10,6.232671387,3.204687266,,,,,,,,,,,,,
10,6.189188965,3.196201287,,,,,,,,,,,,,
11,6.144419434,3.188290866,,,,,,,,,,,,,
11,6.100632324,3.180268221,,,,,,,,,,,,,
11,6.064616699,3.172782483,,,,,,,,,,,,,
11,6.029984375,3.165112808,,,,,,,,,,,,,
11,6.003390137,3.159346292,,,,,,,,,,,,,
11,5.981706055,3.156635445,,,,,,,,,,,,,
11,5.972347168,3.153058002,,,,,,,,,,,,,
11,5.974119141,3.154190723,,,,,,,,,,,,,
11,5.985733887,3.15769366,,,,,,,,,,,,,
11,6.007850586,3.163789865,,,,,,,,,,,,,
11,6.037591797,3.170530777,,,,,,,,,,,,,
11,6.073763672,3.181073815,,,,,,,,,,,,,
11,6.117150879,3.190381918,,,,,,,,,,,,,
11,6.160143066,3.201466287,,,,,,,,,,,,,
11,6.205211426,3.213077551,,,,,,,,,,,,,
11,6.243614258,3.225042485,,,,,,,,,,,,,
11,6.271151367,3.235150827,,,,,,,,,,,,,
11,6.304480469,3.245343221,,,,,,,,,,,,,
11,6.328952637,3.254294861,,,,,,,,,,,,,
11,6.350438965,3.262178507,,,,,,,,,,,,,
11,6.360699219,3.268932458,,,,,,,,,,,,,
11,6.355222168,3.274545539,,,,,,,,,,,,,
11,6.357680664,3.275478724,,,,,,,,,,,,,
11,6.343772949,3.274972783,,,,,,,,,,,,,
11,6.304508301,3.272308968,,,,,,,,,,,,,
11,6.276535156,3.265459556,,,,,,,,,,,,,
11,6.235431152,3.258102573,,,,,,,,,,,,,
11,6.186109375,3.250054782,,,,,,,,,,,,,
12,6.141759766,3.241574625,,,,,,,,,,,,,
12,6.098963867,3.231755225,,,,,,,,,,,,,
12,6.060009766,3.224065993,,,,,,,,,,,,,
12,6.022315918,3.216970479,,,,,,,,,,,,,
12,5.995285645,3.209990216,,,,,,,,,,,,,
12,5.976202148,3.206628608,,,,,,,,,,,,,
12,5.967953613,3.205528483,,,,,,,,,,,,,
12,5.966625,3.207105212,,,,,,,,,,,,,
12,5.979577637,3.208560171,,,,,,,,,,,,,
12,6.001181641,3.214950906,,,,,,,,,,,,,
12,6.035463379,3.222701838,,,,,,,,,,,,,
12,6.070694824,3.230262082,,,,,,,,,,,,,
12,6.111833496,3.240336897,,,,,,,,,,,,,
12,6.156516602,3.251618007,,,,,,,,,,,,,
12,6.19683252,3.262935206,,,,,,,,,,,,,
12,6.236341309,3.275032155,,,,,,,,,,,,,
12,6.271652344,3.285950981,,,,,,,,,,,,,
12,6.301572754,3.293837653,,,,,,,,,,,,,
12,6.32854541,3.303714795,,,,,,,,,,,,,
12,6.347004395,3.311731154,,,,,,,,,,,,,
12,6.360107422,3.318992909,,,,,,,,,,,,,
12,6.365139648,3.324085381,,,,,,,,,,,,,
12,6.356617188,3.32435919,,,,,,,,,,,,,
12,6.339715332,3.323333105,,,,,,,,,,,,,
12,6.309404785,3.321517259,,,,,,,,,,,,,
12,6.271415039,3.314821515,,,,,,,,,,,,,
12,6.229111816,3.30650527,,,,,,,,,,,,,
12,6.18434082,3.297656309,,,,,,,,,,,,,
13,6.138035645,3.287944244,,,,,,,,,,,,,
13,6.096649414,3.280444071,,,,,,,,,,,,,
13,6.050317871,3.271904541,,,,,,,,,,,,,
13,6.02214502,3.265522188,,,,,,,,,,,,,
13,5.994277832,3.257718636,,,,,,,,,,,,,
13,5.971203613,3.254339797,,,,,,,,,,,,,
13,5.956103516,3.253027098,,,,,,,,,,,,,
13,5.95573584,3.252777038,,,,,,,,,,,,,
13,5.97290625,3.256316995,,,,,,,,,,,,,
13,6.002393066,3.262233688,,,,,,,,,,,,,
13,6.031999023,3.270284506,,,,,,,,,,,,,
13,6.064688965,3.279462224,,,,,,,,,,,,,
13,6.114189941,3.290801775,,,,,,,,,,,,,
13,6.161516113,3.30109545,,,,,,,,,,,,,
13,6.200064453,3.312536748,,,,,,,,,,,,,
13,6.236199219,3.323687706,,,,,,,,,,,,,
