Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,eyy--1,exx--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,,,,,,3294.943358,,,0.0151856,-0.00428678,0.000341493,,,,,,,,,,,,
,,,,,,,3310.19354,,,0.0153354,-0.00432486,0.000315637,,,,,,,,,,,,
,,,,,,,3326.644638,,,0.0155477,-0.00436569,0.000342936,,,,,,,,,,,,
,,,,,,,3340.849324,,,0.0157293,-0.00439329,0.000324418,,,,,,,,,,,,
,,,,,,,3354.87882,,,0.0159117,-0.00444236,0.00033381,,,,,,,,,,,,
,,,,,,,3369.826664,,,0.0161033,-0.00447949,0.000337965,,,,,,,,,,,,
,,,,,,,3384.613446,,,0.0162984,-0.00452668,0.000337014,,,,,,,,,,,,
,,,,,,,3397.224457,,,0.0164852,-0.00455471,0.00034694,,,,,,,,,,,,
,,,,,,,3410.287578,,,0.016672,-0.00458636,0.000346219,,,,,,,,,,,,
,,,,,,,3423.274408,,,0.0168631,-0.00463929,0.000332182,,,,,,,,,,,,
,,,,,,,3434.659077,,,0.0170641,-0.00466885,0.000341984,,,,,,,,,,,,
,,,,,,,3444.45289,,,0.0172419,-0.0047122,0.00033435,,,,,,,,,,,,
,,,,,,,3457.665778,,,0.0174237,-0.00473744,0.000328207,,,,,,,,,,,,
,,,,,,,3471.149934,,,0.017632,-0.00477457,0.000338702,,,,,,,,,,,,
,,,,,,,3480.774209,,,0.0178263,-0.00481537,0.000336108,,,,,,,,,,,,
,,,,,,,3491.393126,,,0.0180318,-0.00485117,0.000329105,,,,,,,,,,,,
,,,,,,,3501.718172,,,0.0182301,-0.00487966,0.000326275,,,,,,,,,,,,
,,,,,,,3509.630086,,,0.0184243,-0.00488664,0.000333267,,,,,,,,,,,,
,,,,,,,3521.334069,,,0.0186274,-0.00495891,0.000331643,,,,,,,,,,,,
,,,,,,,3529.912845,,,0.0188408,-0.00498479,0.000344302,,,,,,,,,,,,
,,,,,,,3538.248614,,,0.0190255,-0.00501778,0.000331559,,,,,,,,,,,,
,,,,,,,3547.689227,,,0.0192377,-0.00505889,0.000333345,,,,,,,,,,,,
,,,,,,,3555.541805,,,0.0194457,-0.00510789,0.000337995,,,,,,,,,,,,
,,,,,,,3563.086384,,,0.0196456,-0.00514675,0.00034484,,,,,,,,,,,,
,,,,,,,3570.498157,,,0.0198481,-0.00517787,0.000332165,,,,,,,,,,,,
,,,,,,,3576.530995,,,0.0200596,-0.00521351,0.000335561,,,,,,,,,,,,
,,,,,,,3586.423721,,,0.0202761,-0.00524456,0.000333222,,,,,,,,,,,,
,,,,,,,3590.128195,,,0.0204758,-0.00528066,0.000328847,,,,,,,,,,,,
