Crack_length,Load,u,N_cycles,Specimen_name
34.1789,99.51299,2.074741,28001,
34.1789,99.468444,2.076244,28002,
34.1789,99.424434,2.071646,28003,
34.1789,99.565318,2.077927,28004,
34.1789,99.40726,2.075651,28005,
34.1789,99.585444,2.073254,28006,
34.3219,98.649442,2.073584,29001,
34.3219,98.658297,2.078927,29002,
34.3219,98.580208,2.073028,29003,
34.3219,98.746584,2.075936,29004,
34.3219,98.608653,2.074884,29005,
34.3219,98.490848,2.075185,29006,
34.3219,98.814745,2.074711,30001,
34.3219,98.881832,2.071916,30002,
34.3219,98.869488,2.074546,30003,
34.3219,98.910814,2.076237,30004,
34.3219,98.823064,2.075666,30005,
34.3219,98.567864,2.075508,30006,
34.4649,98.682986,2.079761,31001,
34.4649,98.597382,2.077484,31002,
34.4649,98.268654,2.0671,31003,
34.4649,98.785227,2.077679,31004,
34.4649,98.695061,2.075478,31005,
34.4649,98.89686,2.078258,31006,
34.4649,98.227865,2.071721,32001,
34.4649,98.241014,2.07692,32002,
34.4649,98.333058,2.078055,32003,
34.4649,98.340304,2.074569,32004,
34.4649,98.278315,2.077401,32005,
34.4649,98.038411,2.070684,32006,
34.6079,98.014528,2.080745,33001,
34.6079,97.787773,2.077529,33002,
34.6079,97.901016,2.071,33003,
34.6079,97.811924,2.077687,33004,
34.6079,97.784016,2.075493,33005,
34.6079,97.801727,2.076703,33006,
34.6079,97.291327,2.074441,34001,
34.6079,97.191501,2.076244,34002,
34.6079,97.119583,2.076748,34003,
34.6079,97.285423,2.075155,34004,
34.6079,97.483733,2.074028,34005,
34.6079,97.368611,2.072322,34006,
34.6079,97.042835,2.072134,35001,
34.6079,96.948376,2.076064,35002,
34.6079,96.881557,2.075606,35003,
34.6079,96.934154,2.070579,35004,
34.6079,96.732087,2.078228,35005,
34.6079,96.725915,2.070541,35006,
34.7509,96.7235,2.075673,36001,
34.7509,96.799442,2.074674,36002,
34.7509,96.880216,2.076793,36003,
34.7509,96.977895,2.074711,36004,
34.7509,96.938179,2.071646,36005,
34.7509,96.65185,2.075726,36006,
34.7509,96.388063,2.073644,37001,
34.7509,96.354251,2.078386,37002,
34.7509,96.437439,2.075598,37003,
34.7509,96.246106,2.079813,37004,
34.7509,96.34298,2.073464,37005,
34.7509,96.461859,2.077657,37006,
34.7509,95.837411,2.07242,38001,
34.7509,95.904766,2.077146,38002,
34.7509,95.645273,2.069317,38003,
34.7509,95.911475,2.075485,38004,
34.7509,95.940188,2.07819,38005,
34.7509,95.942067,2.076222,38006,
34.8939,95.511903,2.076477,39001,
34.8939,95.589993,2.073509,39002,
34.8939,95.376923,2.077056,39003,
34.8939,95.523442,2.076605,39004,
34.8939,95.541958,2.080294,39005,
34.8939,95.645004,2.077544,39006,
34.8939,95.358944,2.077221,40001,
34.8939,95.491777,2.073472,40002,
34.8939,95.394366,2.078837,40003,
34.8939,95.379338,2.078558,40004,
34.8939,95.395976,2.074899,40005,
34.8939,95.443474,2.074772,40006,
34.8939,95.197934,2.077304,41001,
34.8939,95.183712,2.07789,41002,
