stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
-1.0,480000,84.03103621146151,86.58676642955709,81.19841394072556
-1.0,490000,83.93818959936316,86.49180818104766,81.09288862474541
-1.0,500000,83.84721880530984,86.3990242264443,80.98923946623815
-1.0,510000,83.7580495320455,86.3083219532522,80.88739864773352
-1.0,520000,83.67061181087017,86.21961437034325,80.78730207704012
-1.0,530000,83.58483967179336,86.13281967036373,80.68888911259997
-1.0,540000,83.50067084451985,86.04786083343666,80.59210231412543
-1.0,550000,83.41804648687284,85.96466526759916,80.4968872157463
-1.0,560000,83.33691093768775,85.88316448198897,80.403192119247
-1.0,570000,83.25721149157715,85.80329378928836,80.31096790527327
-1.0,580000,83.17889819328482,85.72499203436017,80.22016786064468
-1.0,590000,83.10192364961867,85.64820134637485,80.1307475201349
-1.0,600000,83.02624285719024,85.57286691204905,80.04266452127129
-1.0,610000,82.9518130443926,85.49893676788899,79.95587847087427
-1.0,620000,82.87859352622715,85.42636160957306,79.87035082220282
-1.0,630000,82.80654557074607,85.35509461681805,79.78604476169737
-1.0,640000,82.73563227601232,85.28509129225493,79.70292510442395
-1.0,650000,82.6658184565989,85.21630931300113,79.62095819741995
-1.0,660000,82.59707053875324,85.14870839375763,79.54011183022575
-1.0,670000,82.52935646344501,85.08225016038094,79.4603551519638
-1.0,680000,82.4626455965963,85.01689803299176,79.38165859439019
-1.0,690000,82.39690864586517,84.95261711777613,79.30399380040436
-1.0,700000,82.33211758341648,84.8893741067219,79.2273335575518
-1.0,710000,82.26824557417066,84.8271371846073,79.15165173610316
-1.0,720000,82.20526690907064,84.76587594262732,79.076923231331
-1.0,730000,82.14315694295122,84.70556129810149,79.00312390964385
-1.0,740000,82.08189203663571,84.64616541976147,78.93023055826765
-1.0,750000,82.02144950291897,84.58766165816274,78.85822083819534
-1.0,760000,81.96180755612798,84.5300244808093,78.78707324014857
-1.0,770000,81.90294526497946,84.47322941161497,78.71676704332175
-1.0,780000,81.8448425084793,84.41725297436243,78.64728227669661
-1.0,790000,81.78747993463091,84.36207263985018,78.57859968273456
-1.0,800000,81.73083892174105,84.3076667764437,78.5107006832729
-1.0,810000,81.67490154212896,84.25401460377459,78.44356734746316
-1.0,820000,81.6196505280623,84.20109614935207,78.3771823616049
-1.0,830000,81.56506923975755,84.14889220787116,78.31152900074099
-1.0,840000,81.51114163529687,84.0973843030211,78.24659110189054
-1.0,850000,81.45785224232503,84.04655465161358,78.18235303880611
-1.0,860000,81.40518613140168,83.9963861298649,78.11879969815088
-1.0,870000,81.35312889089396,83.94686224168007,78.05591645700046
-1.0,880000,81.30166660330406,83.89796708879963,77.99368916158
-1.0,890000,81.25078582293418,83.8496853426798,77.93210410715615
-1.0,900000,81.20047355479937,83.8020022179881,77.87114801900795
-1.0,910000,81.15071723470552,83.75490344760571,77.81080803440668
-1.0,920000,81.10150471041598,83.70837525903454,77.7510716855422
-1.0,930000,81.05282422383627,83.66240435211772,77.69192688333388
-1.0,940000,81.00466439415163,83.61697787798632,77.63336190207258
-1.0,950000,80.95701420185671,83.57208341915351,77.5753653648421
-1.0,960000,80.90986297362146,83.52770897068214,77.5179262296724
-1.0,970000,80.86320036794129,83.4838429223581,77.46103377638069
-1.0,980000,80.8170163615231,83.44047404180573,77.40467759405925
-1.0,990000,80.77130123636238,83.39759145848723,77.34884756917185
-1.0,1000000,80.72604556746978,83.35518464853071,77.29353387422363
-1.0,1010000,80.6812402112084,83.31324342033756,77.23872695697028
-1.0,1020000,80.63687629420544,83.27175790092049,77.18441753013714
-1.0,1030000,80.59294520280497,83.23071852293062,77.13059656161752
-1.0,1040000,80.5494385730301,83.1901160123296,77.07725526512569
-1.0,1050000,80.5063482810256,83.14994137667267,77.02438509127671
-1.0,1060000,80.46366643395329,83.11018589396396,76.97197771907163
-1.0,1070000,80.42138536131515,83.07084110205248,76.9200250477654
