Machine_Displacement,Machine_Load,u--#,v--#,exx--#,eyy--# ,exy--#,Th_chamber,Specimen Name
0.463569,436.322725,0.0027161,-0.252479,-0.000968344,0.00663921,0.000107137,20,
0.4847,437.868909,-0.00118282,-0.254168,-0.00107026,0.00666485,8.43E-05,20,
0.478258,440.880747,-0.00283151,-0.255645,-0.00119632,0.00668215,5.11E-05,20,
0.481737,440.300928,0.00140102,-0.257025,-0.00125066,0.00669399,3.67E-05,20,
0.479547,446.099117,0.00252648,-0.258243,-0.00125614,0.00672099,1.99E-05,20,
0.478967,447.613089,-0.000389653,-0.259536,-0.00125653,0.00674562,3.81E-05,20,
0.488308,453.813931,-0.000873054,-0.260963,-0.00122065,0.00676507,5.42E-05,20,
0.494879,450.351123,0.00228145,-0.262367,-0.00118772,0.0067838,5.94E-05,20,
0.500291,451.220852,0.00051717,-0.264804,-0.00116248,0.00683372,4.44E-05,20,
0.499067,457.614966,-0.00141252,-0.26616,-0.00113499,0.00686896,6.37E-05,20,
0.509311,451.784564,0.00202005,-0.26757,-0.00113785,0.00689934,6.64E-05,20,
0.515044,460.884501,0.00329426,-0.268808,-0.00115042,0.00691933,5.10E-05,20,
0.518137,465.780751,-0.000478361,-0.269998,-0.00116812,0.00694436,4.10E-05,20,
0.526383,464.347309,-0.00172092,-0.271275,-0.00118009,0.00696227,2.34E-05,20,
0.539139,463.976869,0.0015642,-0.272547,-0.00119756,0.00697814,1.97E-05,20,
0.520263,471.78832,0.00260672,-0.273751,-0.00119931,0.00700499,2.12E-05,20,
0.53959,469.630105,9.40E-05,-0.274941,-0.00120888,0.007024,2.81E-05,20,
0.509053,481.709667,-0.00174547,-0.27624,-0.00121357,0.00705054,4.68E-05,20,
0.52677,479.438709,0.00114299,-0.277458,-0.00119778,0.00707325,4.00E-05,20,
0.518781,486.05831,0.00297902,-0.278672,-0.00120043,0.00710097,3.59E-05,20,
0.527349,485.172475,-0.00046485,-0.27994,-0.0012326,0.00712106,4.85E-05,20,
0.527478,486.380432,-0.00243843,-0.281186,-0.00123786,0.00714812,5.96E-05,20,
0.542167,485.2369,0.000914543,-0.282474,-0.00123478,0.00717002,0.000109602,20,
0.537786,491.985349,0.00190141,-0.283475,-0.00121989,0.00719464,0.000104726,20,
0.544357,494.932762,-0.0013262,-0.284841,-0.00117567,0.00724907,5.96E-05,20,
0.555567,489.617755,-0.00332575,-0.286301,-0.00120276,0.00730958,3.18E-05,20,
0.529733,500.666528,-0.0011233,-0.287647,-0.0011945,0.00735325,-1.25E-05,20,
0.565102,494.44958,0.000802386,-0.288995,-0.00119294,0.00737628,-2.91E-05,20,
0.529926,503.485093,-0.00207071,-0.290459,-0.00122173,0.00738945,-3.69E-05,20,
0.561365,506.142597,-0.00448155,-0.29188,-0.00125325,0.00742757,2.15E-06,20,
0.550349,510.700619,-0.000894235,-0.293449,-0.00125607,0.00749437,7.65E-05,20,
0.556534,510.088588,0.000822016,-0.294925,-0.00130865,0.0075231,9.95E-05,20,
0.558531,513.599715,-0.0019603,-0.296461,-0.00137588,0.00751483,7.65E-05,20,
0.553312,513.90573,-0.0034087,-0.297861,-0.0014823,0.00750602,4.50E-05,20,
0.56813,518.447646,-0.000868393,-0.298981,-0.00148796,0.00753341,4.27E-05,20,
0.575474,515.918991,0.00150979,-0.300284,-0.00143213,0.00759856,7.42E-05,20,
0.580371,525.196096,-0.000734905,-0.301751,-0.00134555,0.00763719,0.000108082,20,
0.572446,526.436265,-0.00395413,-0.303404,-0.00125404,0.00768183,0.000109321,20,
0.583141,529.576951,-0.00154088,-0.305026,-0.00114341,0.00770778,9.50E-05,20,
0.573348,532.476047,0.000644468,-0.306547,-0.00106684,0.00773735,8.10E-05,20,
0.577343,533.684003,-0.00251474,-0.308272,-0.0010062,0.00776696,8.37E-05,20,
0.597121,537.6461,-0.00499162,-0.30988,-0.00101499,0.00779761,6.73E-05,20,
0.586491,537.27566,-0.00274391,-0.311565,-0.00112742,0.0078291,5.01E-05,20,
0.597636,541.318288,-0.000612323,-0.31309,-0.00127656,0.00786119,2.28E-05,20,
0.596026,548.066738,-0.00224905,-0.314677,-0.00142816,0.00787542,3.71E-06,20,
0.6006,543.975792,-0.0051147,-0.316343,-0.00155175,0.00788782,-1.43E-05,20,
0.586298,549.757877,-0.00317404,-0.317765,-0.00157665,0.00790854,-1.24E-05,20,
0.598925,550.418227,-9.85E-05,-0.319205,-0.00157085,0.00794981,1.26E-05,20,
0.612325,552.785822,-0.00246439,-0.320874,-0.00156177,0.00801122,6.70E-05,20,
0.603628,557.923663,-0.00529157,-0.322626,-0.00155539,0.00804196,8.08E-05,20,
0.614709,559.95303,-0.00296164,-0.324283,-0.00155567,0.00806525,7.36E-05,20,
0.600342,559.808076,-0.000834082,-0.325718,-0.00152824,0.0080876,7.09E-05,20,
0.624566,562.562216,-0.00251947,-0.32735,-0.00153344,0.00811686,7.38E-05,20,
0.604401,569.294561,-0.0051184,-0.329128,-0.00152581,0.00814077,6.69E-05,20,
0.637644,564.849281,-0.00397351,-0.330716,-0.00154497,0.00816523,5.57E-05,20,
0.628238,571.066231,-0.000968643,-0.33215,-0.00157368,0.0081821,2.44E-05,20,
0.622697,575.624253,-0.00221743,-0.333453,-0.00160747,0.00818899,-8.63E-06,20,
0.644215,574.754525,-0.00560565,-0.335298,-0.00166104,0.00821765,-2.78E-05,20,
0.619863,574.335766,-0.00334255,-0.336882,-0.00167208,0.00825136,-7.69E-06,20,
0.645375,581.5674,-0.000805655,-0.338288,-0.00166012,0.00828138,2.72E-05,20,
0.622311,589.797611,-0.00274838,-0.339716,-0.00165892,0.00832539,3.30E-05,20,
0.637257,587.446122,-0.00527592,-0.341415,-0.00163851,0.00835805,2.98E-05,20,
0.659548,589.604338,-0.00422981,-0.343096,-0.00160997,0.00838223,2.02E-05,20,
0.652139,589.298322,-0.00136284,-0.344505,-0.00166113,0.00840972,-8.14E-07,20,
0.643957,599.251885,-0.00227676,-0.345825,-0.00167578,0.00842463,-4.97E-06,20,
0.66496,592.825555,-0.00566138,-0.347384,-0.00166551,0.00844912,-5.23E-06,20,
0.662254,595.40253,-0.00424955,-0.348833,-0.00167272,0.00848233,-5.39E-06,20,
0.65317,601.587268,-0.00115888,-0.350306,-0.00165217,0.0085145,2.06E-05,20,
0.679133,603.922651,-0.00273235,-0.351762,-0.00166012,0.00854768,3.31E-05,20,
0.664251,605.468835,-0.00508632,-0.353235,-0.00167085,0.0085775,5.56E-05,20,
0.666377,607.562627,-0.00391177,-0.354795,-0.00165577,0.00860473,6.34E-05,20,
0.657486,611.138179,-0.0017445,-0.356224,-0.00162329,0.00864152,5.44E-05,20,
0.677844,611.927377,-0.00246833,-0.357599,-0.00162354,0.00866917,5.61E-05,20,
0.669212,621.671561,-0.00564732,-0.359193,-0.00161584,0.00869251,7.07E-05,20,
0.662318,620.47971,-0.00535046,-0.360654,-0.00159899,0.00873656,8.54E-05,20,
0.681001,626.116842,-0.00243264,-0.3621,-0.00160024,0.00876611,7.89E-05,20,
0.683127,621.768198,-0.00411376,-0.363734,-0.0015837,0.00879452,7.95E-05,20,
0.683321,628.130103,-0.00703229,-0.365309,-0.00155589,0.00882696,9.39E-05,20,
0.6772,630.352743,-0.00602699,-0.366879,-0.00153123,0.00885519,0.000115261,20,
0.696141,629.450802,-0.00430421,-0.368508,-0.00158055,0.00888309,0.000106896,20,
0.68506,633.815553,-0.00536066,-0.369981,-0.00174761,0.00890611,8.70E-05,20,
0.728289,632.011671,-0.00777454,-0.37167,-0.00196186,0.008929,6.17E-05,20,
0.717014,640.934445,-0.00350313,-0.37465,-0.00213051,0.00899467,5.64E-05,20,
0.701102,640.241883,-0.00422618,-0.376185,-0.00202338,0.00902323,5.26E-05,20,
0.706513,640.612323,-0.00734113,-0.377847,-0.0018761,0.00905192,5.22E-05,20,
0.72758,647.779533,-0.0061931,-0.379275,-0.00180084,0.00908089,5.96E-05,20,
0.719785,644.075133,-0.00379364,-0.380883,-0.00177106,0.00910263,4.19E-05,20,
0.734473,649.696158,-0.00516038,-0.382286,-0.00176776,0.00912451,4.01E-05,20,
0.704065,662.033424,-0.00759064,-0.383802,-0.00177434,0.00914183,5.64E-05,20,
0.728289,656.976111,-0.0071389,-0.385459,-0.00179352,0.00917529,8.08E-05,20,
0.7337,659.392025,-0.00433931,-0.386816,-0.00180307,0.00921274,6.58E-05,20,
0.721266,661.550241,-0.00494721,-0.388313,-0.00184121,0.00925287,5.97E-05,20,
0.73763,666.575342,-0.00856161,-0.38989,-0.00185388,0.00928592,5.31E-05,20,
0.715533,666.011629,-0.00790333,-0.39143,-0.00188404,0.00931274,5.27E-05,20,
0.757151,671.101154,-0.00451891,-0.393059,-0.0018933,0.00933487,3.81E-05,20,
0.726871,678.12341,-0.0055324,-0.394485,-0.00189877,0.00935275,4.75E-05,20,
0.750451,673.839189,-0.00836181,-0.39584,-0.0019212,0.00937,5.01E-05,20,
0.752577,679.299155,-0.00785813,-0.397256,-0.00193104,0.00938912,4.42E-05,20,
0.766363,674.692812,-0.00507347,-0.398517,-0.00193215,0.00941163,3.56E-05,20,
0.762369,681.747281,-0.0050657,-0.399927,-0.00192232,0.00944552,2.95E-05,20,
0.761854,681.715069,-0.00837614,-0.401442,-0.00192693,0.00947999,3.14E-05,20,
0.754381,690.492889,-0.00852212,-0.402879,-0.00193641,0.00950841,2.33E-05,20,
0.768683,685.355046,-0.00520364,-0.40415,-0.0019539,0.00952995,1.72E-05,20,
0.775061,693.311455,-0.0052252,-0.405823,-0.00201006,0.00956067,1.28E-05,20,
0.769971,701.04238,-0.00813678,-0.407405,-0.00203779,0.00958017,1.57E-05,20,
0.776414,694.197291,-0.00761877,-0.40885,-0.00206448,0.00960103,1.89E-05,20,
0.796965,694.825428,-0.00480214,-0.410333,-0.00206397,0.00963137,2.32E-06,20,
0.75889,702.991218,-0.00460514,-0.411681,-0.00205481,0.00966769,2.01E-05,20,
0.779893,708.241804,-0.00731004,-0.413261,-0.00206484,0.00970559,2.96E-05,20,
0.785175,703.248915,-0.00788461,-0.414896,-0.00208848,0.0097402,2.38E-05,20,
0.790523,707.984106,-0.00475195,-0.41623,-0.00207834,0.0097794,2.48E-05,20,
0.793615,710.883203,-0.0046865,-0.417873,-0.00207125,0.00980909,3.03E-05,20,
0.79529,713.862831,-0.00802152,-0.419372,-0.00209319,0.00984318,4.02E-05,20,
0.796643,715.376804,-0.0082732,-0.421163,-0.00210567,0.00988092,3.46E-05,20,
0.783629,715.859986,-0.0052936,-0.422763,-0.00211871,0.00991645,2.92E-05,20,
0.816937,722.415167,-0.00527753,-0.424254,-0.00211668,0.0099444,1.90E-05,20,
0.794775,726.554433,-0.00771168,-0.425702,-0.00212977,0.00997044,2.45E-05,20,
0.814166,724.798869,-0.00827008,-0.427485,-0.00214644,0.0100012,2.80E-05,20,
0.801604,728.0523,-0.00573406,-0.42881,-0.00214072,0.0100353,3.05E-05,20,
0.812169,736.040923,-0.00519395,-0.430307,-0.00212421,0.0100609,3.45E-05,20,
0.79864,736.620742,-0.00859436,-0.431956,-0.00212825,0.0101014,4.48E-05,20,
0.820222,735.525528,-0.00917785,-0.433582,-0.00215966,0.0101303,5.50E-05,20,
0.822026,739.809749,-0.00588254,-0.435125,-0.00216377,0.0101544,5.79E-05,20,
0.824796,737.683745,-0.00585668,-0.436673,-0.00217114,0.0101808,7.94E-05,20,
0.839034,742.096815,-0.00926801,-0.439836,-0.0021794,0.0102349,9.60E-05,20,
0.836393,749.570043,-0.0068967,-0.441446,-0.00218412,0.0102684,9.67E-05,20,
0.832398,753.177809,-0.00611944,-0.442981,-0.00217793,0.0102994,0.00011181,20,
0.825054,758.057956,-0.00906835,-0.444646,-0.00218167,0.0103217,0.000118241,20,
0.835297,756.80168,-0.0103905,-0.446323,-0.00218194,0.0103465,0.000113231,20,
0.834782,755.948057,-0.00715656,-0.447848,-0.00221969,0.0103737,9.83E-05,20,
0.838068,760.039006,-0.0065976,-0.449497,-0.0022513,0.0103977,7.12E-05,20,
0.842642,764.403758,-0.0105729,-0.452705,-0.00223674,0.0104606,7.52E-05,20,
0.870538,766.465338,-0.00814437,-0.454297,-0.00229743,0.0104945,5.77E-05,20,
0.867703,768.011523,-0.00718381,-0.45575,-0.00230429,0.0105169,5.58E-05,20,
0.868347,771.619289,-0.0111119,-0.458899,-0.00231086,0.0105773,6.65E-05,20,
0.875305,773.68087,-0.00841744,-0.460267,-0.00237246,0.0106048,6.50E-05,20,
0.869636,781.266841,-0.00712599,-0.461646,-0.00239195,0.0106201,6.26E-05,20,
0.866608,783.022406,-0.0105807,-0.463194,-0.00238928,0.0106484,6.80E-05,20,
0.877238,784.198151,-0.0114476,-0.464632,-0.00241866,0.0106787,7.30E-05,20,
0.871053,783.247891,-0.00854303,-0.466189,-0.00243847,0.0107061,7.16E-05,20,
0.872084,791.349258,-0.0104915,-0.469074,-0.00249537,0.010748,9.20E-05,20,
0.887095,794.280568,-0.0117201,-0.470734,-0.00252967,0.0107701,9.24E-05,20,
